date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,NA,NA,NA,NA,2,NA,NA
2020-03-01 02:00:00,NA,16,32,29,NA,57,NA,Cubatão-V.Parisi
2020-03-01 03:00:00,NA,15,24,24,NA,11,NA,Cubatão-V.Parisi
2020-03-01 04:00:00,NA,12,20,19,NA,8,NA,Cubatão-V.Parisi
2020-03-01 05:00:00,NA,31,31,37,NA,6,NA,Cubatão-V.Parisi
2020-03-01 06:00:00,NA,19,29,31,NA,6,NA,Cubatão-V.Parisi
2020-03-01 07:00:00,NA,69,38,72,NA,6,NA,Cubatão-V.Parisi
2020-03-01 08:00:00,NA,84,51,93,NA,22,NA,Cubatão-V.Parisi
2020-03-01 09:00:00,NA,96,48,101,NA,19,NA,Cubatão-V.Parisi
2020-03-01 10:00:00,NA,102,47,107,NA,39,NA,Cubatão-V.Parisi
2020-03-01 11:00:00,NA,76,48,79,NA,30,NA,Cubatão-V.Parisi
2020-03-01 12:00:00,NA,24,16,25,NA,4,NA,Cubatão-V.Parisi
2020-03-01 13:00:00,NA,43,33,45,NA,6,NA,Cubatão-V.Parisi
2020-03-01 14:00:00,NA,74,40,71,NA,7,NA,Cubatão-V.Parisi
2020-03-01 15:00:00,NA,64,40,68,NA,11,NA,Cubatão-V.Parisi
2020-03-01 16:00:00,NA,93,42,91,NA,3,NA,Cubatão-V.Parisi
2020-03-01 17:00:00,NA,39,26,42,NA,8,NA,Cubatão-V.Parisi
2020-03-01 18:00:00,NA,22,30,34,NA,11,NA,Cubatão-V.Parisi
2020-03-01 19:00:00,NA,28,32,37,NA,8,NA,Cubatão-V.Parisi
2020-03-01 20:00:00,NA,96,54,99,NA,11,NA,Cubatão-V.Parisi
2020-03-01 21:00:00,NA,137,53,135,NA,11,NA,Cubatão-V.Parisi
2020-03-01 22:00:00,NA,119,55,111,NA,8,NA,Cubatão-V.Parisi
2020-03-01 23:00:00,NA,29,23,34,NA,5,NA,Cubatão-V.Parisi
2020-03-02 00:00:00,NA,26,17,30,NA,3,NA,Cubatão-V.Parisi
2020-03-02 01:00:00,NA,NA,NA,NA,NA,10,NA,NA
2020-03-02 02:00:00,NA,34,27,40,NA,65,NA,Cubatão-V.Parisi
2020-03-02 03:00:00,NA,43,31,49,NA,9,NA,Cubatão-V.Parisi
2020-03-02 04:00:00,NA,72,38,73,NA,16,NA,Cubatão-V.Parisi
2020-03-02 05:00:00,NA,98,48,105,NA,4,NA,Cubatão-V.Parisi
2020-03-02 06:00:00,NA,199,64,189,NA,35,NA,Cubatão-V.Parisi
2020-03-02 07:00:00,NA,301,91,287,NA,36,NA,Cubatão-V.Parisi
2020-03-02 08:00:00,NA,80,47,89,NA,17,NA,Cubatão-V.Parisi
2020-03-02 09:00:00,NA,77,45,81,NA,11,NA,Cubatão-V.Parisi
2020-03-02 10:00:00,NA,152,71,147,NA,3,NA,Cubatão-V.Parisi
2020-03-02 11:00:00,NA,102,55,98,NA,11,NA,Cubatão-V.Parisi
2020-03-02 12:00:00,NA,52,40,57,NA,8,NA,Cubatão-V.Parisi
2020-03-02 13:00:00,NA,60,48,66,NA,1,NA,Cubatão-V.Parisi
2020-03-02 14:00:00,NA,64,47,70,NA,1,NA,Cubatão-V.Parisi
2020-03-02 15:00:00,NA,41,32,47,NA,23,NA,Cubatão-V.Parisi
2020-03-02 16:00:00,NA,107,65,112,NA,13,NA,Cubatão-V.Parisi
2020-03-02 17:00:00,NA,119,69,117,NA,12,NA,Cubatão-V.Parisi
2020-03-02 18:00:00,NA,42,41,53,NA,10,NA,Cubatão-V.Parisi
2020-03-02 19:00:00,NA,54,44,63,NA,5,NA,Cubatão-V.Parisi
2020-03-02 20:00:00,NA,8,20,16,NA,4,NA,Cubatão-V.Parisi
2020-03-02 21:00:00,NA,15,17,19,NA,12,NA,Cubatão-V.Parisi
2020-03-02 22:00:00,NA,7,19,15,NA,5,NA,Cubatão-V.Parisi
2020-03-02 23:00:00,NA,7,18,15,NA,8,NA,Cubatão-V.Parisi
2020-03-03 00:00:00,NA,3,16,11,NA,2,NA,Cubatão-V.Parisi
2020-03-03 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03 02:00:00,NA,29,36,43,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 03:00:00,NA,17,36,33,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 04:00:00,NA,17,36,33,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 05:00:00,NA,34,37,47,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 06:00:00,NA,110,57,116,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 07:00:00,NA,204,62,195,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 08:00:00,NA,151,42,144,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 09:00:00,NA,68,37,74,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 10:00:00,NA,51,36,60,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 11:00:00,NA,45,31,52,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 12:00:00,NA,59,39,61,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 13:00:00,NA,46,34,52,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 14:00:00,NA,38,24,42,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 15:00:00,NA,94,53,97,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 16:00:00,NA,77,45,77,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 17:00:00,NA,95,53,99,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 18:00:00,NA,102,54,108,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 19:00:00,NA,65,37,70,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 20:00:00,NA,94,49,102,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 21:00:00,NA,138,63,141,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 22:00:00,NA,53,39,63,NA,NA,NA,Cubatão-V.Parisi
2020-03-03 23:00:00,NA,93,49,101,NA,NA,NA,Cubatão-V.Parisi
2020-03-04 00:00:00,NA,88,36,89,NA,NA,NA,Cubatão-V.Parisi
2020-03-04 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-04 02:00:00,NA,237,44,217,NA,NA,NA,Cubatão-V.Parisi
2020-03-04 03:00:00,NA,176,46,166,NA,NA,NA,Cubatão-V.Parisi
2020-03-04 04:00:00,NA,140,44,136,NA,NA,NA,Cubatão-V.Parisi
2020-03-04 05:00:00,NA,125,35,120,NA,NA,NA,Cubatão-V.Parisi
