date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,12,NA,NA,NA,NA,24,NA,NA
2020-03-01 02:00:00,5,13,39,31,NA,15,NA,Cubatão-Vale do Mogi
2020-03-01 03:00:00,12,14,33,29,NA,19,NA,Cubatão-Vale do Mogi
2020-03-01 04:00:00,8,22,38,37,NA,13,NA,Cubatão-Vale do Mogi
2020-03-01 05:00:00,9,19,37,35,NA,21,NA,Cubatão-Vale do Mogi
2020-03-01 06:00:00,NA,30,40,46,NA,17,NA,Cubatão-Vale do Mogi
2020-03-01 07:00:00,7,8,33,24,NA,19,NA,Cubatão-Vale do Mogi
2020-03-01 08:00:00,13,7,26,19,NA,29,NA,Cubatão-Vale do Mogi
2020-03-01 09:00:00,11,12,31,26,NA,8,NA,Cubatão-Vale do Mogi
2020-03-01 10:00:00,11,18,29,30,NA,6,NA,Cubatão-Vale do Mogi
2020-03-01 11:00:00,16,27,26,36,NA,42,NA,Cubatão-Vale do Mogi
2020-03-01 12:00:00,21,23,30,34,NA,10,NA,Cubatão-Vale do Mogi
2020-03-01 13:00:00,27,6,13,12,NA,19,NA,Cubatão-Vale do Mogi
2020-03-01 14:00:00,18,20,25,29,NA,39,NA,Cubatão-Vale do Mogi
2020-03-01 15:00:00,16,14,24,24,NA,14,NA,Cubatão-Vale do Mogi
2020-03-01 16:00:00,23,6,13,12,NA,11,NA,Cubatão-Vale do Mogi
2020-03-01 17:00:00,15,22,25,30,NA,10,NA,Cubatão-Vale do Mogi
2020-03-01 18:00:00,13,7,26,19,NA,22,NA,Cubatão-Vale do Mogi
2020-03-01 19:00:00,3,19,38,36,NA,23,NA,Cubatão-Vale do Mogi
2020-03-01 20:00:00,9,15,33,29,NA,37,NA,Cubatão-Vale do Mogi
2020-03-01 21:00:00,10,24,31,35,NA,16,NA,Cubatão-Vale do Mogi
2020-03-01 22:00:00,9,23,27,32,NA,15,NA,Cubatão-Vale do Mogi
2020-03-01 23:00:00,16,12,14,16,NA,7,NA,Cubatão-Vale do Mogi
2020-03-02 00:00:00,5,22,30,34,NA,11,NA,Cubatão-Vale do Mogi
2020-03-02 01:00:00,3,NA,NA,NA,NA,22,NA,NA
2020-03-02 02:00:00,1,11,25,22,NA,33,NA,Cubatão-Vale do Mogi
2020-03-02 03:00:00,1,21,26,30,NA,36,NA,Cubatão-Vale do Mogi
2020-03-02 04:00:00,3,21,33,34,NA,29,NA,Cubatão-Vale do Mogi
2020-03-02 05:00:00,2,10,32,25,NA,15,NA,Cubatão-Vale do Mogi
2020-03-02 06:00:00,NA,13,30,26,NA,19,NA,Cubatão-Vale do Mogi
2020-03-02 07:00:00,3,24,33,37,NA,23,NA,Cubatão-Vale do Mogi
2020-03-02 08:00:00,6,25,33,37,NA,16,NA,Cubatão-Vale do Mogi
2020-03-02 09:00:00,8,29,31,40,NA,13,NA,Cubatão-Vale do Mogi
2020-03-02 10:00:00,12,31,34,43,NA,6,NA,Cubatão-Vale do Mogi
2020-03-02 11:00:00,16,22,31,34,NA,18,NA,Cubatão-Vale do Mogi
2020-03-02 12:00:00,25,28,28,36,NA,6,NA,Cubatão-Vale do Mogi
2020-03-02 13:00:00,34,9,15,15,NA,3,NA,Cubatão-Vale do Mogi
2020-03-02 14:00:00,35,7,11,12,NA,6,NA,Cubatão-Vale do Mogi
2020-03-02 15:00:00,34,12,12,16,NA,17,NA,Cubatão-Vale do Mogi
2020-03-02 16:00:00,32,9,13,13,NA,9,NA,Cubatão-Vale do Mogi
2020-03-02 17:00:00,15,41,28,47,NA,6,NA,Cubatão-Vale do Mogi
2020-03-02 18:00:00,18,40,27,45,NA,14,NA,Cubatão-Vale do Mogi
