date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,35,NA,NA,NA,0.3,5,14,NA
2020-03-01 02:00:00,33,1,6,4,0.3,6,13,Guarulhos-Pimentas
2020-03-01 03:00:00,35,1,4,3,0.2,3,4,Guarulhos-Pimentas
2020-03-01 04:00:00,33,1,6,4,0.2,5,2,Guarulhos-Pimentas
2020-03-01 05:00:00,35,1,6,4,0.2,5,4,Guarulhos-Pimentas
2020-03-01 06:00:00,30,1,9,6,0.3,5,6,Guarulhos-Pimentas
2020-03-01 07:00:00,24,2,11,8,0.3,9,6,Guarulhos-Pimentas
2020-03-01 08:00:00,27,3,12,9,0.3,9,6,Guarulhos-Pimentas
2020-03-01 09:00:00,30,3,9,8,0.3,11,7,Guarulhos-Pimentas
2020-03-01 10:00:00,36,2,6,5,0.3,9,6,Guarulhos-Pimentas
2020-03-01 11:00:00,42,2,4,4,0.3,5,6,Guarulhos-Pimentas
2020-03-01 12:00:00,44,2,4,4,0.3,10,5,Guarulhos-Pimentas
2020-03-01 13:00:00,45,2,4,4,0.3,7,3,Guarulhos-Pimentas
2020-03-01 14:00:00,44,2,4,4,0.3,19,8,Guarulhos-Pimentas
2020-03-01 15:00:00,48,2,4,3,0.3,26,8,Guarulhos-Pimentas
2020-03-01 16:00:00,44,1,4,3,0.3,0,3,Guarulhos-Pimentas
2020-03-01 17:00:00,41,2,6,5,0.3,1,6,Guarulhos-Pimentas
2020-03-01 18:00:00,43,1,5,3,0.3,6,5,Guarulhos-Pimentas
2020-03-01 19:00:00,38,1,7,4,0.3,4,4,Guarulhos-Pimentas
2020-03-01 20:00:00,36,1,7,4,0.3,10,4,Guarulhos-Pimentas
2020-03-01 21:00:00,31,1,9,6,0.4,11,11,Guarulhos-Pimentas
2020-03-01 22:00:00,29,2,11,7,0.4,15,11,Guarulhos-Pimentas
2020-03-01 23:00:00,30,1,8,5,0.3,11,10,Guarulhos-Pimentas
2020-03-02 00:00:00,32,1,6,4,0.3,5,6,Guarulhos-Pimentas
2020-03-02 01:00:00,34,NA,NA,NA,0.2,8,8,NA
2020-03-02 02:00:00,35,0,2,1,0.2,7,6,Guarulhos-Pimentas
2020-03-02 03:00:00,37,0,2,1,0.2,3,5,Guarulhos-Pimentas
2020-03-02 04:00:00,37,0,5,3,0.2,4,2,Guarulhos-Pimentas
2020-03-02 05:00:00,29,1,11,7,0.2,8,5,Guarulhos-Pimentas
2020-03-02 06:00:00,16,6,24,18,0.4,13,6,Guarulhos-Pimentas
