date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,27,NA,NA,NA,NA,6,NA,NA
2020-03-01 02:00:00,25,0,2,1,NA,2,NA,Jaú
2020-03-01 03:00:00,25,1,3,2,NA,1,NA,Jaú
2020-03-01 04:00:00,27,0,1,1,NA,5,NA,Jaú
2020-03-01 05:00:00,32,0,1,1,NA,4,NA,Jaú
2020-03-01 06:00:00,NA,1,2,1,NA,6,NA,Jaú
2020-03-01 07:00:00,31,0,2,1,NA,0,NA,Jaú
2020-03-01 08:00:00,31,1,3,2,NA,5,NA,Jaú
2020-03-01 09:00:00,34,1,3,2,NA,3,NA,Jaú
2020-03-01 10:00:00,35,1,2,2,NA,9,NA,Jaú
2020-03-01 11:00:00,37,1,3,3,NA,5,NA,Jaú
2020-03-01 12:00:00,41,1,3,3,NA,8,NA,Jaú
2020-03-01 13:00:00,44,1,3,2,NA,6,NA,Jaú
2020-03-01 14:00:00,46,1,3,2,NA,15,NA,Jaú
2020-03-01 15:00:00,49,1,3,2,NA,2,NA,Jaú
2020-03-01 16:00:00,49,1,3,2,NA,11,NA,Jaú
2020-03-01 17:00:00,45,1,3,2,NA,4,NA,Jaú
2020-03-01 18:00:00,39,1,3,2,NA,14,NA,Jaú
2020-03-01 19:00:00,30,1,4,3,NA,14,NA,Jaú
2020-03-01 20:00:00,24,1,3,3,NA,12,NA,Jaú
2020-03-01 21:00:00,22,1,3,3,NA,2,NA,Jaú
2020-03-01 22:00:00,20,1,3,3,NA,6,NA,Jaú
2020-03-01 23:00:00,19,1,3,3,NA,3,NA,Jaú
2020-03-02 00:00:00,20,1,3,2,NA,5,NA,Jaú
2020-03-02 01:00:00,21,NA,NA,NA,NA,3,NA,NA
2020-03-02 02:00:00,20,0,3,2,NA,5,NA,Jaú
2020-03-02 03:00:00,19,0,4,2,NA,5,NA,Jaú
2020-03-02 04:00:00,18,0,3,2,NA,3,NA,Jaú
2020-03-02 05:00:00,16,0,3,2,NA,4,NA,Jaú
2020-03-02 06:00:00,NA,1,4,3,NA,6,NA,Jaú
2020-03-02 07:00:00,12,3,7,6,NA,3,NA,Jaú
2020-03-02 08:00:00,16,4,6,6,NA,6,NA,Jaú
2020-03-02 09:00:00,22,4,5,6,NA,8,NA,Jaú
2020-03-02 10:00:00,30,4,6,6,NA,16,NA,Jaú
2020-03-02 11:00:00,41,3,6,5,NA,13,NA,Jaú
2020-03-02 12:00:00,48,4,10,8,NA,5,NA,Jaú
2020-03-02 13:00:00,51,24,22,27,NA,13,NA,Jaú
2020-03-02 14:00:00,60,6,13,11,NA,10,NA,Jaú
2020-03-02 15:00:00,66,2,9,7,NA,11,NA,Jaú
2020-03-02 16:00:00,79,3,11,8,NA,14,NA,Jaú
2020-03-02 17:00:00,63,3,10,8,NA,14,NA,Jaú
2020-03-02 18:00:00,44,4,8,8,NA,25,NA,Jaú
2020-03-02 19:00:00,39,4,10,9,NA,23,NA,Jaú
2020-03-02 20:00:00,38,2,6,5,NA,10,NA,Jaú
2020-03-02 21:00:00,38,1,4,3,NA,9,NA,Jaú
2020-03-02 22:00:00,37,1,4,3,NA,15,NA,Jaú
2020-03-02 23:00:00,35,1,5,4,NA,6,NA,Jaú
2020-03-03 00:00:00,37,0,4,3,NA,4,NA,Jaú
2020-03-03 01:00:00,38,NA,NA,NA,NA,5,NA,NA
2020-03-03 02:00:00,37,0,3,2,NA,4,NA,Jaú
2020-03-03 03:00:00,36,0,3,2,NA,3,NA,Jaú
2020-03-03 04:00:00,35,0,3,1,NA,6,NA,Jaú
2020-03-03 05:00:00,31,0,3,2,NA,3,NA,Jaú
2020-03-03 06:00:00,NA,1,6,4,NA,6,NA,Jaú
2020-03-03 07:00:00,21,3,8,7,NA,4,NA,Jaú
2020-03-03 08:00:00,23,4,7,7,NA,1,NA,Jaú
2020-03-03 09:00:00,27,3,6,6,NA,3,NA,Jaú
2020-03-03 10:00:00,31,4,6,7,NA,9,NA,Jaú
2020-03-03 11:00:00,38,3,6,6,NA,9,NA,Jaú
2020-03-03 12:00:00,41,3,6,6,NA,10,NA,Jaú
2020-03-03 13:00:00,47,2,6,5,NA,8,NA,Jaú
2020-03-03 14:00:00,46,3,8,7,NA,9,NA,Jaú
2020-03-03 15:00:00,46,4,9,8,NA,16,NA,Jaú
2020-03-03 16:00:00,47,4,11,9,NA,10,NA,Jaú
2020-03-03 17:00:00,44,4,10,9,NA,18,NA,Jaú
2020-03-03 18:00:00,39,6,14,12,NA,16,NA,Jaú
2020-03-03 19:00:00,34,4,14,11,NA,24,NA,Jaú
2020-03-03 20:00:00,32,3,9,7,NA,16,NA,Jaú
2020-03-03 21:00:00,29,2,5,4,NA,12,NA,Jaú
2020-03-03 22:00:00,29,1,4,3,NA,7,NA,Jaú
2020-03-03 23:00:00,27,1,4,3,NA,10,NA,Jaú
2020-03-04 00:00:00,26,1,3,2,NA,17,NA,Jaú
2020-03-04 01:00:00,24,NA,NA,NA,NA,5,NA,NA
2020-03-04 02:00:00,21,0,4,2,NA,5,NA,Jaú
2020-03-04 03:00:00,23,0,3,2,NA,4,NA,Jaú
2020-03-04 04:00:00,23,0,3,2,NA,8,NA,Jaú
2020-03-04 05:00:00,23,0,3,2,NA,4,NA,Jaú
2020-03-04 06:00:00,NA,1,5,3,NA,6,NA,Jaú
2020-03-04 07:00:00,14,5,9,9,NA,6,NA,Jaú
2020-03-04 08:00:00,16,6,8,9,NA,3,NA,Jaú
2020-03-04 09:00:00,22,5,7,8,NA,12,NA,Jaú
2020-03-04 10:00:00,29,4,7,8,NA,12,NA,Jaú
2020-03-04 11:00:00,43,3,6,5,NA,15,NA,Jaú
2020-03-04 12:00:00,58,2,5,4,NA,11,NA,Jaú
2020-03-04 13:00:00,67,1,7,5,NA,13,NA,Jaú
2020-03-04 14:00:00,61,2,7,5,NA,13,NA,Jaú
2020-03-04 15:00:00,59,2,7,6,NA,15,NA,Jaú
2020-03-04 16:00:00,52,2,7,5,NA,10,NA,Jaú
2020-03-04 17:00:00,53,3,10,8,NA,19,NA,Jaú
