date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,24,0,7,4,NA,8,2,Limeira
2020-03-01 02:00:00,24,0,7,4,NA,6,2,Limeira
2020-03-01 03:00:00,24,0,7,4,NA,7,6,Limeira
2020-03-01 04:00:00,27,0,7,4,NA,7,7,Limeira
2020-03-01 05:00:00,27,0,7,4,NA,10,7,Limeira
2020-03-01 06:00:00,26,0,7,4,NA,8,6,Limeira
2020-03-01 07:00:00,28,0,7,4,NA,7,6,Limeira
2020-03-01 08:00:00,29,1,8,5,NA,9,7,Limeira
2020-03-01 09:00:00,35,1,6,4,NA,13,5,Limeira
2020-03-01 10:00:00,40,1,6,4,NA,9,3,Limeira
2020-03-01 11:00:00,48,0,5,3,NA,9,4,Limeira
2020-03-01 12:00:00,56,0,4,2,NA,7,3,Limeira
2020-03-01 13:00:00,63,0,4,2,NA,8,3,Limeira
2020-03-01 14:00:00,73,0,5,3,NA,7,6,Limeira
2020-03-01 15:00:00,78,0,5,3,NA,9,6,Limeira
2020-03-01 16:00:00,74,0,4,2,NA,11,4,Limeira
2020-03-01 17:00:00,68,0,6,3,NA,8,10,Limeira
2020-03-01 18:00:00,56,0,7,4,NA,16,9,Limeira
2020-03-01 19:00:00,50,0,12,6,NA,11,6,Limeira
2020-03-01 20:00:00,35,0,12,7,NA,14,8,Limeira
2020-03-01 21:00:00,28,0,15,8,NA,9,8,Limeira
2020-03-01 22:00:00,31,0,10,5,NA,10,13,Limeira
2020-03-01 23:00:00,35,0,6,3,NA,11,9,Limeira
2020-03-02 00:00:00,38,0,5,3,NA,11,7,Limeira
2020-03-02 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA
