date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,NA,NA,NA,0.2,13,8,NA
2020-03-01 02:00:00,NA,1,13,7,0.2,9,1,Marg.Tietê-Pte Remédios
2020-03-01 03:00:00,NA,0,8,5,0.2,4,1,Marg.Tietê-Pte Remédios
2020-03-01 04:00:00,NA,1,8,5,0.2,1,2,Marg.Tietê-Pte Remédios
2020-03-01 05:00:00,NA,1,8,5,NA,3,1,Marg.Tietê-Pte Remédios
2020-03-01 06:00:00,NA,1,11,6,0.2,5,1,Marg.Tietê-Pte Remédios
2020-03-01 07:00:00,NA,2,14,9,0.2,8,11,Marg.Tietê-Pte Remédios
2020-03-01 08:00:00,NA,2,12,8,0.2,1,4,Marg.Tietê-Pte Remédios
2020-03-01 09:00:00,NA,3,8,6,0.2,1,6,Marg.Tietê-Pte Remédios
2020-03-01 10:00:00,NA,3,8,7,0.2,3,1,Marg.Tietê-Pte Remédios
2020-03-01 11:00:00,NA,3,8,7,0.2,1,0,Marg.Tietê-Pte Remédios
2020-03-01 12:00:00,NA,5,13,11,0.2,1,10,Marg.Tietê-Pte Remédios
2020-03-01 13:00:00,NA,4,10,9,0.2,7,6,Marg.Tietê-Pte Remédios
2020-03-01 14:00:00,NA,4,9,8,0.2,7,0,Marg.Tietê-Pte Remédios
2020-03-01 15:00:00,NA,3,12,9,0.2,15,19,Marg.Tietê-Pte Remédios
2020-03-01 16:00:00,NA,3,14,10,0.3,14,10,Marg.Tietê-Pte Remédios
2020-03-01 17:00:00,NA,2,14,9,0.3,4,0,Marg.Tietê-Pte Remédios
2020-03-01 18:00:00,NA,2,10,7,0.2,5,0,Marg.Tietê-Pte Remédios
2020-03-01 19:00:00,NA,1,19,11,0.3,10,1,Marg.Tietê-Pte Remédios
2020-03-01 20:00:00,NA,2,18,11,0.3,4,0,Marg.Tietê-Pte Remédios
2020-03-01 21:00:00,NA,2,22,13,0.3,7,7,Marg.Tietê-Pte Remédios
2020-03-01 22:00:00,NA,3,22,14,0.3,7,12,Marg.Tietê-Pte Remédios
2020-03-01 23:00:00,NA,7,26,19,0.4,6,6,Marg.Tietê-Pte Remédios
2020-03-02 00:00:00,NA,5,25,18,0.3,2,11,Marg.Tietê-Pte Remédios
2020-03-02 01:00:00,NA,NA,NA,NA,0.2,1,9,NA
2020-03-02 02:00:00,NA,5,15,12,0.2,3,3,Marg.Tietê-Pte Remédios
2020-03-02 03:00:00,NA,4,20,14,0.2,6,3,Marg.Tietê-Pte Remédios
2020-03-02 04:00:00,NA,19,38,35,0.3,8,9,Marg.Tietê-Pte Remédios
2020-03-02 05:00:00,NA,26,41,43,NA,13,11,Marg.Tietê-Pte Remédios
2020-03-02 06:00:00,NA,13,35,29,0.3,14,10,Marg.Tietê-Pte Remédios
2020-03-02 07:00:00,NA,20,39,36,0.4,10,10,Marg.Tietê-Pte Remédios
2020-03-02 08:00:00,NA,15,34,30,0.4,7,1,Marg.Tietê-Pte Remédios
2020-03-02 09:00:00,NA,13,22,22,0.3,8,0,Marg.Tietê-Pte Remédios
2020-03-02 10:00:00,NA,13,26,25,0.3,12,11,Marg.Tietê-Pte Remédios
2020-03-02 11:00:00,NA,14,29,27,0.3,18,10,Marg.Tietê-Pte Remédios
2020-03-02 12:00:00,NA,15,25,25,0.3,7,4,Marg.Tietê-Pte Remédios
2020-03-02 13:00:00,NA,8,27,21,0.3,12,7,Marg.Tietê-Pte Remédios
2020-03-02 14:00:00,NA,8,31,23,0.3,15,10,Marg.Tietê-Pte Remédios
2020-03-02 15:00:00,NA,26,49,47,0.4,15,12,Marg.Tietê-Pte Remédios
2020-03-02 16:00:00,NA,16,40,35,0.4,11,2,Marg.Tietê-Pte Remédios
2020-03-02 17:00:00,NA,20,44,40,0.5,11,3,Marg.Tietê-Pte Remédios
2020-03-02 18:00:00,NA,18,46,40,0.5,5,4,Marg.Tietê-Pte Remédios
