date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,22,0,11,6,0.2,5,2,Pinheiros
2020-03-01 02:00:00,26,1,9,5,0.2,6,0,Pinheiros
2020-03-01 03:00:00,30,1,5,3,0.1,2,5,Pinheiros
2020-03-01 04:00:00,26,1,8,5,0.1,4,4,Pinheiros
2020-03-01 05:00:00,32,2,6,4,0.1,3,0,Pinheiros
2020-03-01 06:00:00,28,1,7,4,0.2,1,3,Pinheiros
2020-03-01 07:00:00,26,1,8,5,0.2,2,4,Pinheiros
2020-03-01 08:00:00,27,1,6,4,0.1,5,6,Pinheiros
2020-03-01 09:00:00,27,2,7,6,0.1,3,2,Pinheiros
2020-03-01 10:00:00,24,3,9,8,0.2,3,9,Pinheiros
2020-03-01 11:00:00,23,3,10,8,0.2,6,14,Pinheiros
2020-03-01 12:00:00,29,3,10,7,0.2,1,9,Pinheiros
2020-03-01 13:00:00,37,1,6,5,0.2,5,20,Pinheiros
2020-03-01 14:00:00,38,1,6,4,0.2,10,13,Pinheiros
2020-03-01 15:00:00,37,1,9,6,0.2,10,26,Pinheiros
2020-03-01 16:00:00,29,1,10,6,0.2,11,10,Pinheiros
2020-03-01 17:00:00,26,2,11,7,0.2,7,14,Pinheiros
2020-03-01 18:00:00,29,1,8,5,0.2,8,1,Pinheiros
2020-03-01 19:00:00,19,1,15,9,0.2,27,10,Pinheiros
2020-03-01 20:00:00,15,1,17,10,0.2,7,5,Pinheiros
2020-03-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 22:00:00,12,1,18,10,0.3,3,5,Pinheiros
2020-03-01 23:00:00,7,3,20,13,0.3,6,12,Pinheiros
2020-03-02 00:00:00,13,1,12,7,0.2,13,6,Pinheiros
2020-03-02 01:00:00,12,1,10,6,0.2,1,2,Pinheiros
2020-03-02 02:00:00,16,1,8,5,0.1,3,7,Pinheiros
2020-03-02 03:00:00,19,1,7,4,0.1,4,1,Pinheiros
2020-03-02 04:00:00,15,1,10,6,0.1,4,12,Pinheiros
2020-03-02 05:00:00,4,8,24,19,0.2,6,9,Pinheiros
2020-03-02 06:00:00,6,8,25,20,0.2,9,15,Pinheiros
2020-03-02 07:00:00,12,4,25,17,0.3,13,0,Pinheiros
2020-03-02 08:00:00,13,8,27,21,0.3,2,1,Pinheiros
2020-03-02 09:00:00,22,7,21,17,0.3,5,6,Pinheiros
2020-03-02 10:00:00,22,8,23,19,0.3,8,10,Pinheiros
2020-03-02 11:00:00,26,6,21,16,0.3,10,7,Pinheiros
2020-03-02 12:00:00,35,5,16,13,0.3,5,12,Pinheiros
2020-03-02 13:00:00,43,3,17,12,0.3,9,22,Pinheiros
2020-03-02 14:00:00,38,4,21,15,0.3,14,20,Pinheiros
2020-03-02 15:00:00,38,3,20,13,0.3,15,5,Pinheiros
2020-03-02 16:00:00,32,4,20,14,0.3,22,9,Pinheiros
2020-03-02 17:00:00,23,4,24,16,0.3,13,14,Pinheiros
2020-03-02 18:00:00,13,6,30,20,0.6,14,13,Pinheiros
2020-03-02 19:00:00,8,8,34,25,0.4,7,NA,Pinheiros
2020-03-02 20:00:00,13,5,27,19,0.3,15,NA,Pinheiros
2020-03-02 21:00:00,18,3,22,14,0.3,1,NA,Pinheiros
2020-03-02 22:00:00,14,4,24,16,0.3,7,NA,Pinheiros
2020-03-02 23:00:00,13,4,25,16,0.3,7,NA,Pinheiros
2020-03-03 00:00:00,13,7,24,18,0.2,0,NA,Pinheiros
2020-03-03 01:00:00,4,11,32,26,0.3,8,NA,Pinheiros
2020-03-03 02:00:00,13,3,21,14,0.2,5,NA,Pinheiros
2020-03-03 03:00:00,14,2,19,12,0.2,1,NA,Pinheiros
2020-03-03 04:00:00,18,1,14,8,0.2,9,NA,Pinheiros
2020-03-03 05:00:00,16,2,16,10,0.2,3,NA,Pinheiros
2020-03-03 06:00:00,9,7,24,19,0.2,2,NA,Pinheiros
2020-03-03 07:00:00,3,14,31,28,0.3,19,NA,Pinheiros
2020-03-03 08:00:00,3,23,32,36,0.4,9,NA,Pinheiros
2020-03-03 09:00:00,6,20,31,33,0.6,8,NA,Pinheiros
