date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,16,NA,NA,NA,NA,31,3,NA
2020-03-01 02:00:00,17,0,5,3,NA,9,2,Piracicaba
2020-03-01 03:00:00,20,0,4,3,NA,5,3,Piracicaba
2020-03-01 04:00:00,26,0,4,2,NA,4,2,Piracicaba
2020-03-01 05:00:00,25,0,4,2,NA,4,3,Piracicaba
2020-03-01 06:00:00,NA,0,4,2,NA,4,0,Piracicaba
2020-03-01 07:00:00,26,1,5,3,NA,8,3,Piracicaba
2020-03-01 08:00:00,30,1,5,3,NA,5,2,Piracicaba
2020-03-01 09:00:00,33,1,5,3,NA,3,1,Piracicaba
2020-03-01 10:00:00,35,1,4,3,NA,8,2,Piracicaba
2020-03-01 11:00:00,41,1,4,3,NA,11,1,Piracicaba
2020-03-01 12:00:00,54,1,5,3,NA,10,7,Piracicaba
2020-03-01 13:00:00,57,1,5,4,NA,13,5,Piracicaba
2020-03-01 14:00:00,58,1,5,3,NA,10,2,Piracicaba
2020-03-01 15:00:00,60,1,5,3,NA,13,8,Piracicaba
2020-03-01 16:00:00,66,1,6,4,NA,13,4,Piracicaba
2020-03-01 17:00:00,67,1,7,4,NA,15,8,Piracicaba
2020-03-01 18:00:00,59,1,8,5,NA,14,4,Piracicaba
2020-03-01 19:00:00,41,1,9,6,NA,20,7,Piracicaba
2020-03-01 20:00:00,29,1,10,6,NA,61,3,Piracicaba
2020-03-01 21:00:00,26,1,10,6,NA,10,4,Piracicaba
2020-03-01 22:00:00,22,1,10,6,NA,5,5,Piracicaba
2020-03-01 23:00:00,24,1,8,5,NA,21,4,Piracicaba
2020-03-02 00:00:00,27,0,6,4,NA,54,4,Piracicaba
2020-03-02 01:00:00,21,NA,NA,NA,NA,6,3,NA
2020-03-02 02:00:00,18,0,9,5,NA,12,6,Piracicaba
2020-03-02 03:00:00,15,0,8,5,NA,10,4,Piracicaba
2020-03-02 04:00:00,15,0,7,4,NA,6,2,Piracicaba
2020-03-02 05:00:00,14,1,7,4,NA,9,2,Piracicaba
2020-03-02 06:00:00,NA,1,10,6,NA,35,2,Piracicaba
2020-03-02 07:00:00,7,3,10,8,NA,8,2,Piracicaba
2020-03-02 08:00:00,14,9,15,15,NA,2,1,Piracicaba
2020-03-02 09:00:00,28,5,10,9,NA,12,5,Piracicaba
2020-03-02 10:00:00,39,3,9,8,NA,12,4,Piracicaba
2020-03-02 11:00:00,50,2,11,8,NA,14,5,Piracicaba
2020-03-02 12:00:00,71,1,11,7,NA,11,4,Piracicaba
2020-03-02 13:00:00,75,1,9,6,NA,19,8,Piracicaba
