date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,30,NA,NA,NA,NA,0,6,NA
2020-03-01 02:00:00,36,NA,NA,NA,NA,8,2,NA
2020-03-01 03:00:00,36,NA,NA,NA,NA,18,1,NA
2020-03-01 04:00:00,35,NA,NA,NA,NA,18,1,NA
2020-03-01 05:00:00,34,NA,NA,NA,NA,7,2,NA
2020-03-01 06:00:00,NA,NA,NA,NA,NA,2,2,NA
2020-03-01 07:00:00,34,NA,NA,NA,NA,10,2,NA
2020-03-01 08:00:00,34,NA,NA,NA,NA,7,0,NA
2020-03-01 09:00:00,33,NA,NA,NA,NA,8,1,NA
2020-03-01 10:00:00,32,NA,NA,NA,NA,2,4,NA
2020-03-01 11:00:00,39,NA,NA,NA,NA,1,1,NA
2020-03-01 12:00:00,39,NA,NA,NA,NA,14,1,NA
2020-03-01 13:00:00,41,NA,NA,NA,NA,4,5,NA
2020-03-01 14:00:00,39,NA,NA,NA,NA,14,0,NA
2020-03-01 15:00:00,41,NA,NA,NA,NA,12,6,NA
2020-03-01 16:00:00,37,NA,NA,NA,NA,1,8,NA
2020-03-01 17:00:00,37,NA,NA,NA,NA,21,3,NA
2020-03-01 18:00:00,37,NA,NA,NA,NA,12,5,NA
2020-03-01 19:00:00,35,NA,NA,NA,NA,19,4,NA
2020-03-01 20:00:00,33,NA,NA,NA,NA,2,1,NA
2020-03-01 21:00:00,32,NA,NA,NA,NA,26,2,NA
2020-03-01 22:00:00,27,NA,NA,NA,NA,20,1,NA
2020-03-01 23:00:00,23,NA,NA,NA,NA,11,4,NA
2020-03-02 00:00:00,25,NA,NA,NA,NA,5,2,NA
2020-03-02 01:00:00,27,NA,NA,NA,NA,3,3,NA
2020-03-02 02:00:00,24,NA,NA,NA,NA,7,1,NA
2020-03-02 03:00:00,20,NA,NA,NA,NA,26,4,NA
2020-03-02 04:00:00,26,NA,NA,NA,NA,7,2,NA
2020-03-02 05:00:00,25,NA,NA,NA,NA,0,1,NA
2020-03-02 06:00:00,NA,NA,NA,NA,NA,8,2,NA
2020-03-02 07:00:00,5,NA,NA,NA,NA,11,3,NA
2020-03-02 08:00:00,9,NA,NA,NA,NA,3,2,NA
2020-03-02 09:00:00,24,NA,NA,NA,NA,12,2,NA
2020-03-02 10:00:00,31,NA,NA,NA,NA,22,3,NA
2020-03-02 11:00:00,39,NA,NA,NA,NA,8,0,NA
2020-03-02 12:00:00,45,NA,NA,NA,NA,6,0,NA
2020-03-02 13:00:00,44,NA,NA,NA,0.1,16,4,NA
2020-03-02 14:00:00,40,NA,NA,NA,0.1,7,7,NA
2020-03-02 15:00:00,38,NA,NA,NA,0.2,34,17,NA
2020-03-02 16:00:00,40,NA,NA,NA,0.2,8,10,NA
2020-03-02 17:00:00,35,NA,NA,NA,0.2,1,0,NA
2020-03-02 18:00:00,30,NA,NA,NA,0.2,3,1,NA
2020-03-02 19:00:00,23,NA,NA,NA,0.2,7,6,NA
2020-03-02 20:00:00,24,NA,NA,NA,0.2,19,1,NA
2020-03-02 21:00:00,19,NA,NA,NA,0.3,5,2,NA
2020-03-02 22:00:00,25,NA,NA,NA,0.1,4,3,NA
2020-03-02 23:00:00,21,NA,NA,NA,0.2,14,2,NA
2020-03-03 00:00:00,17,NA,NA,NA,0.2,6,6,NA
2020-03-03 01:00:00,30,NA,NA,NA,0.1,22,1,NA
2020-03-03 02:00:00,30,0,1,0,0.1,9,3,S.José Campos-Jd.Satelite
2020-03-03 03:00:00,25,0,1,1,0.1,1,4,S.José Campos-Jd.Satelite
2020-03-03 04:00:00,24,0,2,1,0.1,34,1,S.José Campos-Jd.Satelite
2020-03-03 05:00:00,1,11,22,21,NA,9,3,S.José Campos-Jd.Satelite
2020-03-03 06:00:00,NA,13,21,22,0.1,20,8,S.José Campos-Jd.Satelite
2020-03-03 07:00:00,2,6,17,14,0.2,30,4,S.José Campos-Jd.Satelite
2020-03-03 08:00:00,6,6,14,13,0.3,11,4,S.José Campos-Jd.Satelite
2020-03-03 09:00:00,12,7,15,14,0.3,29,2,S.José Campos-Jd.Satelite
2020-03-03 10:00:00,20,8,14,14,0.2,6,4,S.José Campos-Jd.Satelite
2020-03-03 11:00:00,33,6,12,11,0.1,29,3,S.José Campos-Jd.Satelite
2020-03-03 12:00:00,39,6,15,12,0.1,3,10,S.José Campos-Jd.Satelite
2020-03-03 13:00:00,55,2,6,4,0.1,8,7,S.José Campos-Jd.Satelite
2020-03-03 14:00:00,66,1,3,2,0.1,17,7,S.José Campos-Jd.Satelite
2020-03-03 15:00:00,69,2,7,6,0.1,7,4,S.José Campos-Jd.Satelite
2020-03-03 16:00:00,60,8,13,14,0.1,26,14,S.José Campos-Jd.Satelite
2020-03-03 17:00:00,51,2,7,5,0.1,16,11,S.José Campos-Jd.Satelite
2020-03-03 18:00:00,37,1,4,3,0.1,2,1,S.José Campos-Jd.Satelite
2020-03-03 19:00:00,35,0,5,3,0.1,21,10,S.José Campos-Jd.Satelite
2020-03-03 20:00:00,33,0,6,3,0.1,7,2,S.José Campos-Jd.Satelite
2020-03-03 21:00:00,21,0,18,10,0.1,3,0,S.José Campos-Jd.Satelite
2020-03-03 22:00:00,20,0,18,10,0.1,10,8,S.José Campos-Jd.Satelite
2020-03-03 23:00:00,27,0,11,6,0.1,9,1,S.José Campos-Jd.Satelite
2020-03-04 00:00:00,12,1,23,12,0.1,7,3,S.José Campos-Jd.Satelite
2020-03-04 01:00:00,16,NA,NA,NA,0.1,2,4,NA
2020-03-04 02:00:00,20,0,15,8,0.1,0,2,S.José Campos-Jd.Satelite
2020-03-04 03:00:00,24,0,9,5,0.1,10,7,S.José Campos-Jd.Satelite
2020-03-04 04:00:00,24,0,8,4,0.1,7,2,S.José Campos-Jd.Satelite
2020-03-04 05:00:00,19,0,10,5,NA,21,4,S.José Campos-Jd.Satelite
2020-03-04 06:00:00,NA,0,11,6,0.1,16,2,S.José Campos-Jd.Satelite
2020-03-04 07:00:00,4,4,22,15,0.1,2,2,S.José Campos-Jd.Satelite
2020-03-04 08:00:00,22,2,12,8,0.1,3,3,S.José Campos-Jd.Satelite
2020-03-04 09:00:00,28,4,8,8,0.1,18,1,S.José Campos-Jd.Satelite
2020-03-04 10:00:00,27,2,9,6,0.1,21,5,S.José Campos-Jd.Satelite
2020-03-04 11:00:00,37,1,4,3,0.1,4,1,S.José Campos-Jd.Satelite
2020-03-04 12:00:00,36,3,8,6,0.1,17,4,S.José Campos-Jd.Satelite
2020-03-04 13:00:00,45,2,9,7,0.2,9,8,S.José Campos-Jd.Satelite
2020-03-04 14:00:00,56,3,11,8,0.3,32,12,S.José Campos-Jd.Satelite
2020-03-04 15:00:00,46,3,8,7,0.1,37,13,S.José Campos-Jd.Satelite
2020-03-04 16:00:00,54,1,5,3,0.1,33,9,S.José Campos-Jd.Satelite
2020-03-04 17:00:00,53,1,5,3,0.1,2,7,S.José Campos-Jd.Satelite
2020-03-04 18:00:00,62,0,7,4,0.1,25,14,S.José Campos-Jd.Satelite
2020-03-04 19:00:00,44,0,11,6,0.1,29,12,S.José Campos-Jd.Satelite
2020-03-04 20:00:00,31,0,11,6,0.1,19,10,S.José Campos-Jd.Satelite
2020-03-04 21:00:00,31,0,8,4,0.1,25,6,S.José Campos-Jd.Satelite
2020-03-04 22:00:00,28,0,8,5,0.1,7,1,S.José Campos-Jd.Satelite
2020-03-04 23:00:00,23,0,11,6,0.1,3,3,S.José Campos-Jd.Satelite
2020-03-05 00:00:00,17,0,13,7,0.1,15,6,S.José Campos-Jd.Satelite
2020-03-05 01:00:00,16,NA,NA,NA,0.1,0,6,NA
2020-03-05 02:00:00,15,0,10,5,0.1,23,4,S.José Campos-Jd.Satelite
2020-03-05 03:00:00,14,0,9,5,0.1,12,2,S.José Campos-Jd.Satelite
2020-03-05 04:00:00,10,0,8,5,0.1,11,6,S.José Campos-Jd.Satelite
2020-03-05 05:00:00,6,0,10,5,NA,14,4,S.José Campos-Jd.Satelite
2020-03-05 06:00:00,NA,1,9,5,0.1,13,4,S.José Campos-Jd.Satelite
2020-03-05 07:00:00,5,3,10,8,0.1,1,3,S.José Campos-Jd.Satelite
2020-03-05 08:00:00,6,29,18,33,0.3,15,0,S.José Campos-Jd.Satelite
2020-03-05 09:00:00,7,43,26,49,0.4,16,10,S.José Campos-Jd.Satelite
2020-03-05 10:00:00,21,21,25,30,0.2,51,10,S.José Campos-Jd.Satelite
2020-03-05 11:00:00,32,14,26,26,0.2,35,10,S.José Campos-Jd.Satelite
2020-03-05 12:00:00,50,4,11,9,0.1,25,12,S.José Campos-Jd.Satelite
2020-03-05 13:00:00,49,0,2,1,0,20,9,S.José Campos-Jd.Satelite
2020-03-05 14:00:00,45,1,2,2,0,10,9,S.José Campos-Jd.Satelite
2020-03-05 15:00:00,45,1,3,3,0,32,10,S.José Campos-Jd.Satelite
2020-03-05 16:00:00,53,5,9,9,0,29,11,S.José Campos-Jd.Satelite
2020-03-05 17:00:00,49,2,6,5,0.1,31,10,S.José Campos-Jd.Satelite
2020-03-05 18:00:00,42,1,4,2,0.1,11,10,S.José Campos-Jd.Satelite
2020-03-05 19:00:00,33,0,6,3,0.1,32,9,S.José Campos-Jd.Satelite
2020-03-05 20:00:00,28,0,8,5,0.1,18,7,S.José Campos-Jd.Satelite
2020-03-05 21:00:00,27,0,7,4,0.1,12,4,S.José Campos-Jd.Satelite
2020-03-05 22:00:00,29,0,6,3,0.1,10,2,S.José Campos-Jd.Satelite
2020-03-05 23:00:00,10,1,22,13,0.2,3,5,S.José Campos-Jd.Satelite
2020-03-06 00:00:00,3,4,29,19,0.2,16,7,S.José Campos-Jd.Satelite
2020-03-06 01:00:00,12,NA,NA,NA,0.1,9,5,NA
2020-03-06 02:00:00,12,1,17,9,0.1,1,8,S.José Campos-Jd.Satelite
2020-03-06 03:00:00,3,1,20,12,0.1,17,2,S.José Campos-Jd.Satelite
2020-03-06 04:00:00,13,0,9,5,0.1,26,7,S.José Campos-Jd.Satelite
2020-03-06 05:00:00,14,0,4,2,NA,13,4,S.José Campos-Jd.Satelite
2020-03-06 06:00:00,NA,1,9,6,0.1,0,3,S.José Campos-Jd.Satelite
