date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,NA,NA,NA,NA,12,8,NA
2020-03-01 02:00:00,NA,0,12,7,NA,13,6,Santos-Ponta da Praia
2020-03-01 03:00:00,NA,0,7,4,NA,1,5,Santos-Ponta da Praia
2020-03-01 04:00:00,NA,0,8,5,NA,6,6,Santos-Ponta da Praia
2020-03-01 05:00:00,NA,0,8,4,NA,5,6,Santos-Ponta da Praia
2020-03-01 06:00:00,NA,0,7,4,NA,6,3,Santos-Ponta da Praia
2020-03-01 07:00:00,30,0,3,2,NA,1,5,Santos-Ponta da Praia
2020-03-01 08:00:00,24,1,9,6,NA,2,0,Santos-Ponta da Praia
2020-03-01 09:00:00,6,26,36,41,NA,5,4,Santos-Ponta da Praia
2020-03-01 10:00:00,15,14,26,25,NA,4,3,Santos-Ponta da Praia
2020-03-01 11:00:00,23,5,17,13,NA,1,3,Santos-Ponta da Praia
2020-03-01 12:00:00,24,2,14,9,NA,8,3,Santos-Ponta da Praia
2020-03-01 13:00:00,29,0,3,1,NA,5,2,Santos-Ponta da Praia
2020-03-01 14:00:00,28,1,3,3,NA,3,2,Santos-Ponta da Praia
2020-03-01 15:00:00,28,1,5,4,NA,3,8,Santos-Ponta da Praia
2020-03-01 16:00:00,22,3,16,11,NA,17,26,Santos-Ponta da Praia
2020-03-01 17:00:00,18,3,22,14,NA,6,8,Santos-Ponta da Praia
2020-03-01 18:00:00,17,8,25,20,NA,9,9,Santos-Ponta da Praia
2020-03-01 19:00:00,18,3,16,10,NA,13,12,Santos-Ponta da Praia
2020-03-01 20:00:00,27,1,6,4,NA,6,4,Santos-Ponta da Praia
2020-03-01 21:00:00,21,2,12,8,NA,8,6,Santos-Ponta da Praia
2020-03-01 22:00:00,18,2,10,7,NA,7,0,Santos-Ponta da Praia
2020-03-01 23:00:00,10,8,18,16,NA,8,4,Santos-Ponta da Praia
2020-03-02 00:00:00,16,1,10,6,NA,13,0,Santos-Ponta da Praia
2020-03-02 01:00:00,19,NA,NA,NA,NA,13,0,NA
2020-03-02 02:00:00,28,1,13,7,NA,8,0,Santos-Ponta da Praia
2020-03-02 03:00:00,19,2,21,13,NA,9,5,Santos-Ponta da Praia
2020-03-02 04:00:00,32,0,8,5,NA,7,2,Santos-Ponta da Praia
2020-03-02 05:00:00,12,3,31,19,NA,8,3,Santos-Ponta da Praia
2020-03-02 06:00:00,NA,64,40,74,NA,16,6,Santos-Ponta da Praia
2020-03-02 07:00:00,1,82,38,87,NA,22,12,Santos-Ponta da Praia
2020-03-02 08:00:00,2,77,39,84,NA,16,13,Santos-Ponta da Praia
2020-03-02 09:00:00,5,42,37,54,NA,15,17,Santos-Ponta da Praia
2020-03-02 10:00:00,25,7,19,16,NA,14,16,Santos-Ponta da Praia
2020-03-02 11:00:00,37,4,14,10,NA,15,12,Santos-Ponta da Praia
2020-03-02 12:00:00,44,3,6,6,NA,2,0,Santos-Ponta da Praia
2020-03-02 13:00:00,48,3,6,5,NA,12,1,Santos-Ponta da Praia
2020-03-02 14:00:00,46,2,8,6,NA,11,11,Santos-Ponta da Praia
2020-03-02 15:00:00,44,1,6,4,NA,9,1,Santos-Ponta da Praia
2020-03-02 16:00:00,35,2,9,6,NA,7,0,Santos-Ponta da Praia
2020-03-02 17:00:00,24,3,17,11,NA,12,0,Santos-Ponta da Praia
2020-03-02 18:00:00,28,1,13,8,NA,6,2,Santos-Ponta da Praia
2020-03-02 19:00:00,29,2,14,9,NA,6,10,Santos-Ponta da Praia
2020-03-02 20:00:00,35,1,9,5,NA,5,2,Santos-Ponta da Praia
2020-03-02 21:00:00,33,1,7,4,NA,4,2,Santos-Ponta da Praia
2020-03-02 22:00:00,37,0,3,2,NA,5,3,Santos-Ponta da Praia
2020-03-02 23:00:00,41,1,6,4,NA,8,10,Santos-Ponta da Praia
2020-03-03 00:00:00,39,2,5,4,NA,5,14,Santos-Ponta da Praia
2020-03-03 01:00:00,42,NA,NA,NA,NA,3,16,NA
2020-03-03 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03 05:00:00,24,15,0,12,NA,4,NA,Santos-Ponta da Praia
2020-03-03 06:00:00,NA,2,20,12,NA,25,NA,Santos-Ponta da Praia
2020-03-03 07:00:00,6,6,30,21,NA,15,NA,Santos-Ponta da Praia
2020-03-03 08:00:00,7,NA,NA,NA,NA,13,16,NA
2020-03-03 09:00:00,26,1,12,7,NA,16,19,Santos-Ponta da Praia
2020-03-03 10:00:00,28,1,11,7,NA,6,7,Santos-Ponta da Praia
2020-03-03 11:00:00,32,2,13,8,NA,1,0,Santos-Ponta da Praia
2020-03-03 12:00:00,35,0,6,3,NA,11,5,Santos-Ponta da Praia
2020-03-03 13:00:00,28,2,10,7,NA,4,1,Santos-Ponta da Praia
2020-03-03 14:00:00,31,0,4,2,NA,13,2,Santos-Ponta da Praia
2020-03-03 15:00:00,32,0,3,2,NA,1,0,Santos-Ponta da Praia
2020-03-03 16:00:00,27,0,11,6,NA,1,4,Santos-Ponta da Praia
2020-03-03 17:00:00,23,0,12,6,NA,5,0,Santos-Ponta da Praia
2020-03-03 18:00:00,24,0,12,7,NA,8,12,Santos-Ponta da Praia
2020-03-03 19:00:00,25,1,11,7,NA,4,3,Santos-Ponta da Praia
2020-03-03 20:00:00,3,30,43,47,NA,13,19,Santos-Ponta da Praia
2020-03-03 21:00:00,1,36,44,53,NA,17,18,Santos-Ponta da Praia
2020-03-03 22:00:00,4,13,37,30,NA,9,12,Santos-Ponta da Praia
2020-03-03 23:00:00,1,58,46,72,NA,19,18,Santos-Ponta da Praia
2020-03-04 00:00:00,1,65,44,77,NA,21,22,Santos-Ponta da Praia
2020-03-04 01:00:00,1,NA,NA,NA,NA,33,23,NA
2020-03-04 02:00:00,1,NA,NA,NA,NA,28,13,NA
2020-03-04 03:00:00,3,NA,NA,NA,NA,20,10,NA
2020-03-04 04:00:00,20,NA,NA,NA,NA,7,9,NA
2020-03-04 05:00:00,26,NA,NA,NA,NA,9,4,NA
2020-03-04 06:00:00,NA,NA,NA,NA,NA,10,8,NA
2020-03-04 07:00:00,NA,NA,NA,NA,NA,30,18,NA
2020-03-04 08:00:00,NA,NA,NA,NA,NA,28,19,NA
2020-03-04 09:00:00,NA,NA,NA,NA,NA,14,5,NA
2020-03-04 10:00:00,NA,NA,NA,NA,NA,22,10,NA
2020-03-04 11:00:00,NA,NA,NA,NA,NA,29,19,NA
2020-03-04 12:00:00,NA,NA,NA,NA,NA,15,6,NA
2020-03-04 13:00:00,NA,NA,NA,NA,NA,12,0,NA
2020-03-04 14:00:00,NA,NA,NA,NA,NA,9,0,NA
2020-03-04 15:00:00,NA,NA,NA,NA,NA,14,0,NA
2020-03-04 16:00:00,NA,NA,NA,NA,NA,14,6,NA
2020-03-04 17:00:00,NA,NA,NA,NA,NA,20,2,NA
2020-03-04 18:00:00,NA,NA,NA,NA,NA,27,11,NA
2020-03-04 19:00:00,NA,NA,NA,NA,NA,17,14,NA
2020-03-04 20:00:00,NA,NA,NA,NA,NA,12,4,NA
2020-03-04 21:00:00,NA,NA,NA,NA,NA,16,21,NA
2020-03-04 22:00:00,NA,NA,NA,NA,NA,19,21,NA
2020-03-04 23:00:00,NA,NA,NA,NA,NA,48,33,NA
2020-03-05 00:00:00,NA,NA,NA,NA,NA,42,26,NA
2020-03-05 01:00:00,NA,NA,NA,NA,NA,55,26,NA
2020-03-05 02:00:00,NA,108,27,103,NA,33,17,Santos-Ponta da Praia
2020-03-05 03:00:00,NA,91,24,87,NA,33,17,Santos-Ponta da Praia
2020-03-05 04:00:00,NA,97,22,91,NA,29,11,Santos-Ponta da Praia
2020-03-05 05:00:00,NA,113,24,105,NA,28,4,Santos-Ponta da Praia
2020-03-05 06:00:00,NA,170,33,156,NA,39,19,Santos-Ponta da Praia
2020-03-05 07:00:00,NA,147,29,135,NA,35,2,Santos-Ponta da Praia
2020-03-05 08:00:00,NA,105,37,105,NA,30,18,Santos-Ponta da Praia
2020-03-05 09:00:00,NA,30,25,38,NA,28,10,Santos-Ponta da Praia
2020-03-05 10:00:00,NA,2,12,8,NA,17,1,Santos-Ponta da Praia
2020-03-05 11:00:00,NA,1,7,4,NA,26,10,Santos-Ponta da Praia
2020-03-05 12:00:00,NA,1,4,3,NA,14,0,Santos-Ponta da Praia
2020-03-05 13:00:00,NA,0,1,1,NA,15,12,Santos-Ponta da Praia
2020-03-05 14:00:00,NA,0,1,1,NA,22,19,Santos-Ponta da Praia
2020-03-05 15:00:00,NA,0,2,1,NA,15,10,Santos-Ponta da Praia
2020-03-05 16:00:00,NA,1,4,3,NA,11,12,Santos-Ponta da Praia
2020-03-05 17:00:00,NA,0,5,3,NA,10,6,Santos-Ponta da Praia
2020-03-05 18:00:00,NA,1,10,6,NA,28,10,Santos-Ponta da Praia
2020-03-05 19:00:00,NA,0,14,8,NA,15,5,Santos-Ponta da Praia
2020-03-05 20:00:00,NA,3,15,10,NA,15,9,Santos-Ponta da Praia
2020-03-05 21:00:00,NA,49,39,60,NA,7,1,Santos-Ponta da Praia
2020-03-05 22:00:00,NA,55,35,64,NA,24,8,Santos-Ponta da Praia
2020-03-05 23:00:00,NA,64,32,69,NA,26,3,Santos-Ponta da Praia
2020-03-06 00:00:00,NA,49,31,56,NA,21,1,Santos-Ponta da Praia
2020-03-06 01:00:00,NA,NA,NA,NA,NA,20,14,NA
2020-03-06 02:00:00,NA,86,27,84,NA,33,9,Santos-Ponta da Praia
2020-03-06 03:00:00,NA,83,27,82,NA,39,24,Santos-Ponta da Praia
2020-03-06 04:00:00,NA,71,24,70,NA,27,8,Santos-Ponta da Praia
2020-03-06 05:00:00,NA,73,22,71,NA,40,23,Santos-Ponta da Praia
2020-03-06 06:00:00,NA,69,20,67,NA,35,21,Santos-Ponta da Praia
2020-03-06 07:00:00,NA,87,23,83,NA,30,15,Santos-Ponta da Praia
2020-03-06 08:00:00,NA,91,26,88,NA,26,12,Santos-Ponta da Praia
2020-03-06 09:00:00,NA,43,31,51,NA,32,12,Santos-Ponta da Praia
2020-03-06 10:00:00,NA,13,23,22,NA,26,5,Santos-Ponta da Praia
2020-03-06 11:00:00,NA,7,17,14,NA,26,14,Santos-Ponta da Praia
2020-03-06 12:00:00,NA,5,13,11,NA,27,7,Santos-Ponta da Praia
2020-03-06 13:00:00,NA,1,8,5,NA,21,0,Santos-Ponta da Praia
2020-03-06 14:00:00,NA,0,4,2,NA,13,0,Santos-Ponta da Praia
2020-03-06 15:00:00,NA,0,2,1,NA,19,0,Santos-Ponta da Praia
2020-03-06 16:00:00,NA,0,7,4,NA,15,5,Santos-Ponta da Praia
2020-03-06 17:00:00,NA,0,8,5,NA,22,3,Santos-Ponta da Praia
2020-03-06 18:00:00,NA,0,9,5,NA,22,14,Santos-Ponta da Praia
2020-03-06 19:00:00,NA,1,13,8,NA,23,15,Santos-Ponta da Praia
2020-03-06 20:00:00,NA,0,14,8,NA,15,9,Santos-Ponta da Praia
2020-03-06 21:00:00,NA,20,29,32,NA,21,25,Santos-Ponta da Praia
2020-03-06 22:00:00,NA,35,38,49,NA,54,36,Santos-Ponta da Praia
2020-03-06 23:00:00,NA,32,36,45,NA,40,24,Santos-Ponta da Praia
2020-03-07 00:00:00,NA,38,35,49,NA,42,18,Santos-Ponta da Praia
2020-03-07 01:00:00,NA,NA,NA,NA,NA,37,15,NA
2020-03-07 02:00:00,NA,93,34,94,NA,47,21,Santos-Ponta da Praia
2020-03-07 03:00:00,NA,122,35,118,NA,43,23,Santos-Ponta da Praia
2020-03-07 04:00:00,NA,87,29,87,NA,40,17,Santos-Ponta da Praia
2020-03-07 05:00:00,NA,60,26,63,NA,27,7,Santos-Ponta da Praia
2020-03-07 06:00:00,NA,58,26,61,NA,20,0,Santos-Ponta da Praia
2020-03-07 07:00:00,2,81,27,80,NA,33,15,Santos-Ponta da Praia
2020-03-07 08:00:00,3,64,30,68,NA,29,3,Santos-Ponta da Praia
2020-03-07 09:00:00,10,34,33,45,NA,27,11,Santos-Ponta da Praia
2020-03-07 10:00:00,28,6,18,15,NA,17,4,Santos-Ponta da Praia
2020-03-07 11:00:00,40,0,6,3,NA,33,7,Santos-Ponta da Praia
2020-03-07 12:00:00,41,1,6,4,NA,16,4,Santos-Ponta da Praia
2020-03-07 13:00:00,48,0,3,2,NA,24,21,Santos-Ponta da Praia
2020-03-07 14:00:00,45,0,2,1,NA,19,9,Santos-Ponta da Praia
2020-03-07 15:00:00,44,0,3,2,NA,19,8,Santos-Ponta da Praia
2020-03-07 16:00:00,41,0,4,2,NA,17,15,Santos-Ponta da Praia
2020-03-07 17:00:00,36,0,8,4,NA,25,14,Santos-Ponta da Praia
2020-03-07 18:00:00,31,0,10,6,NA,17,9,Santos-Ponta da Praia
2020-03-07 19:00:00,30,0,13,7,NA,16,7,Santos-Ponta da Praia
2020-03-07 20:00:00,24,1,18,10,NA,17,9,Santos-Ponta da Praia
2020-03-07 21:00:00,18,1,21,12,NA,18,1,Santos-Ponta da Praia
2020-03-07 22:00:00,16,2,23,13,NA,20,1,Santos-Ponta da Praia
2020-03-07 23:00:00,11,3,28,17,NA,20,1,Santos-Ponta da Praia
2020-03-08 00:00:00,6,27,33,40,NA,34,6,Santos-Ponta da Praia
2020-03-08 01:00:00,2,NA,NA,NA,NA,37,22,NA
2020-03-08 02:00:00,2,78,31,80,NA,34,11,Santos-Ponta da Praia
2020-03-08 03:00:00,2,27,26,36,NA,19,17,Santos-Ponta da Praia
2020-03-08 04:00:00,2,61,29,65,NA,14,5,Santos-Ponta da Praia
2020-03-08 05:00:00,2,69,24,69,NA,34,24,Santos-Ponta da Praia
2020-03-08 06:00:00,NA,79,24,77,NA,30,24,Santos-Ponta da Praia
