date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,28,3,9,8,0.2,12,18,São Caetano do Sul
2020-03-01 02:00:00,37,1,4,3,0.1,7,3,São Caetano do Sul
2020-03-01 03:00:00,34,1,6,4,0.2,4,0,São Caetano do Sul
2020-03-01 04:00:00,39,1,4,2,0.1,5,1,São Caetano do Sul
2020-03-01 05:00:00,39,1,4,3,0.1,3,0,São Caetano do Sul
2020-03-01 06:00:00,37,1,4,3,0.1,3,3,São Caetano do Sul
2020-03-01 07:00:00,33,2,5,4,0.2,6,0,São Caetano do Sul
2020-03-01 08:00:00,34,2,4,3,0.1,3,2,São Caetano do Sul
2020-03-01 09:00:00,35,1,4,3,0.1,5,0,São Caetano do Sul
2020-03-01 10:00:00,32,2,6,4,0.2,1,1,São Caetano do Sul
2020-03-01 11:00:00,34,2,6,5,0.2,4,3,São Caetano do Sul
2020-03-01 12:00:00,36,2,8,6,0.2,2,6,São Caetano do Sul
2020-03-01 13:00:00,37,3,8,6,0.2,6,9,São Caetano do Sul
2020-03-01 14:00:00,40,2,5,5,0.1,9,8,São Caetano do Sul
2020-03-01 15:00:00,42,2,7,5,0.2,10,19,São Caetano do Sul
2020-03-01 16:00:00,31,3,9,7,0.2,19,7,São Caetano do Sul
2020-03-01 17:00:00,33,2,9,6,0.2,17,4,São Caetano do Sul
2020-03-01 18:00:00,26,11,18,19,0.3,2,4,São Caetano do Sul
2020-03-01 19:00:00,27,5,13,11,0.3,2,8,São Caetano do Sul
2020-03-01 20:00:00,24,6,15,13,0.3,5,0,São Caetano do Sul
2020-03-01 21:00:00,21,4,16,12,0.3,15,2,São Caetano do Sul
2020-03-01 22:00:00,13,8,22,19,0.4,7,2,São Caetano do Sul
2020-03-01 23:00:00,14,4,18,12,0.4,5,3,São Caetano do Sul
2020-03-02 00:00:00,19,2,11,8,0.2,6,5,São Caetano do Sul
2020-03-02 01:00:00,19,1,8,6,0.1,4,1,São Caetano do Sul
2020-03-02 02:00:00,26,1,7,5,0.1,3,3,São Caetano do Sul
2020-03-02 03:00:00,32,0,7,4,0.1,11,8,São Caetano do Sul
2020-03-02 04:00:00,28,1,9,5,0.1,1,4,São Caetano do Sul
2020-03-02 05:00:00,27,1,7,5,0.2,6,5,São Caetano do Sul
2020-03-02 06:00:00,20,4,17,12,0.3,15,8,São Caetano do Sul
2020-03-02 07:00:00,21,6,21,16,0.4,13,3,São Caetano do Sul
2020-03-02 08:00:00,21,9,25,21,0.4,8,4,São Caetano do Sul
2020-03-02 09:00:00,26,11,23,21,0.4,5,8,São Caetano do Sul
2020-03-02 10:00:00,27,18,25,28,0.3,10,13,São Caetano do Sul
2020-03-02 11:00:00,25,28,29,38,0.4,7,14,São Caetano do Sul
2020-03-02 12:00:00,40,9,17,16,0.3,20,8,São Caetano do Sul
2020-03-02 13:00:00,41,6,16,14,0.3,14,18,São Caetano do Sul
2020-03-02 14:00:00,42,10,17,17,0.2,2,2,São Caetano do Sul
2020-03-02 15:00:00,38,10,19,18,0.3,9,11,São Caetano do Sul
2020-03-02 16:00:00,30,19,25,29,0.2,21,11,São Caetano do Sul
2020-03-02 17:00:00,22,23,30,35,0.4,13,4,São Caetano do Sul
2020-03-02 18:00:00,18,23,31,35,0.5,12,5,São Caetano do Sul
2020-03-02 19:00:00,24,7,21,17,0.5,12,10,São Caetano do Sul
2020-03-02 20:00:00,24,6,21,15,0.3,0,1,São Caetano do Sul
2020-03-02 21:00:00,27,3,19,13,0.3,10,1,São Caetano do Sul
2020-03-02 22:00:00,38,2,10,7,0.2,1,2,São Caetano do Sul
2020-03-02 23:00:00,35,3,11,8,0.2,1,0,São Caetano do Sul
