date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,32,NA,NA,NA,NA,11,NA,NA
2020-03-01 02:00:00,26,0,8,5,NA,NA,NA,Sorocaba
2020-03-01 03:00:00,36,0,3,2,NA,14,NA,Sorocaba
2020-03-01 04:00:00,39,0,0,0,NA,2,NA,Sorocaba
2020-03-01 05:00:00,40,0,1,0,NA,3,NA,Sorocaba
2020-03-01 06:00:00,NA,0,1,1,NA,3,NA,Sorocaba
2020-03-01 07:00:00,38,0,1,1,NA,1,NA,Sorocaba
2020-03-01 08:00:00,39,0,1,1,NA,11,NA,Sorocaba
2020-03-01 09:00:00,39,0,2,1,NA,0,NA,Sorocaba
2020-03-01 10:00:00,40,0,2,1,NA,1,NA,Sorocaba
2020-03-01 11:00:00,39,0,2,1,NA,8,NA,Sorocaba
2020-03-01 12:00:00,37,1,2,2,NA,15,NA,Sorocaba
2020-03-01 13:00:00,35,1,2,2,NA,9,NA,Sorocaba
2020-03-01 14:00:00,34,0,2,2,NA,2,NA,Sorocaba
2020-03-01 15:00:00,33,0,2,1,NA,6,NA,Sorocaba
2020-03-01 16:00:00,30,0,2,2,NA,4,NA,Sorocaba
2020-03-01 17:00:00,31,0,1,1,NA,9,NA,Sorocaba
2020-03-01 18:00:00,32,0,1,1,NA,4,NA,Sorocaba
2020-03-01 19:00:00,30,0,2,1,NA,9,NA,Sorocaba
2020-03-01 20:00:00,28,0,3,2,NA,23,NA,Sorocaba
2020-03-01 21:00:00,26,0,4,2,NA,16,NA,Sorocaba
2020-03-01 22:00:00,26,1,3,2,NA,6,NA,Sorocaba
2020-03-01 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 00:00:00,25,0,3,2,NA,6,NA,Sorocaba
2020-03-02 01:00:00,27,NA,NA,NA,NA,11,NA,NA
2020-03-02 02:00:00,26,0,1,1,NA,NA,NA,Sorocaba
2020-03-02 03:00:00,26,0,2,1,NA,5,NA,Sorocaba
2020-03-02 04:00:00,19,0,9,5,NA,7,NA,Sorocaba
