date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,5,NA,NA,NA,NA,11,6,NA
2020-03-01 02:00:00,5,2,19,12,NA,16,6,Taubaté
2020-03-01 03:00:00,28,0,2,1,NA,4,3,Taubaté
2020-03-01 04:00:00,26,0,3,2,NA,7,1,Taubaté
2020-03-01 05:00:00,23,0,4,2,NA,4,3,Taubaté
2020-03-01 06:00:00,NA,0,4,2,NA,6,2,Taubaté
2020-03-01 07:00:00,16,0,6,3,NA,9,3,Taubaté
2020-03-01 08:00:00,20,1,4,3,NA,4,1,Taubaté
2020-03-01 09:00:00,26,1,4,3,NA,2,1,Taubaté
2020-03-01 10:00:00,26,1,3,3,NA,5,1,Taubaté
2020-03-01 11:00:00,29,1,2,2,NA,1,4,Taubaté
2020-03-01 12:00:00,31,1,1,1,NA,0,0,Taubaté
2020-03-01 13:00:00,35,1,1,1,NA,3,3,Taubaté
2020-03-01 14:00:00,35,1,2,1,NA,4,1,Taubaté
2020-03-01 15:00:00,33,1,2,1,NA,5,4,Taubaté
2020-03-01 16:00:00,33,1,3,2,NA,9,2,Taubaté
2020-03-01 17:00:00,32,1,3,2,NA,3,1,Taubaté
2020-03-01 18:00:00,29,1,4,3,NA,2,1,Taubaté
2020-03-01 19:00:00,27,0,6,4,NA,8,2,Taubaté
2020-03-01 20:00:00,24,1,9,5,NA,8,4,Taubaté
2020-03-01 21:00:00,26,1,8,5,NA,1,1,Taubaté
2020-03-01 22:00:00,20,1,10,6,NA,9,1,Taubaté
2020-03-01 23:00:00,15,0,10,5,NA,7,7,Taubaté
2020-03-02 00:00:00,11,1,12,7,NA,13,5,Taubaté
2020-03-02 01:00:00,15,NA,NA,NA,NA,3,6,NA
2020-03-02 02:00:00,15,0,6,4,NA,9,2,Taubaté
2020-03-02 03:00:00,11,0,10,6,NA,10,0,Taubaté
2020-03-02 04:00:00,9,0,10,5,NA,7,11,Taubaté
2020-03-02 05:00:00,10,0,10,5,NA,13,6,Taubaté
2020-03-02 06:00:00,NA,0,11,6,NA,11,13,Taubaté
2020-03-02 07:00:00,15,1,17,10,NA,7,11,Taubaté
2020-03-02 08:00:00,7,6,20,16,NA,7,2,Taubaté
2020-03-02 09:00:00,9,9,21,19,NA,4,3,Taubaté
2020-03-02 10:00:00,27,3,12,9,NA,4,1,Taubaté
2020-03-02 11:00:00,33,2,9,7,NA,7,1,Taubaté
2020-03-02 12:00:00,33,1,7,5,NA,11,0,Taubaté
2020-03-02 13:00:00,36,1,5,3,NA,7,8,Taubaté
2020-03-02 14:00:00,43,1,5,3,NA,17,22,Taubaté
2020-03-02 15:00:00,45,NA,NA,NA,NA,5,0,NA
2020-03-02 16:00:00,48,NA,NA,NA,NA,NA,NA,NA
2020-03-02 17:00:00,48,0,6,3,NA,NA,NA,Taubaté
2020-03-02 18:00:00,38,1,13,7,NA,NA,NA,Taubaté
2020-03-02 19:00:00,23,1,16,9,NA,NA,NA,Taubaté
2020-03-02 20:00:00,22,0,17,9,NA,NA,NA,Taubaté
2020-03-02 21:00:00,14,2,19,11,NA,NA,NA,Taubaté
2020-03-02 22:00:00,15,0,13,7,NA,NA,NA,Taubaté
2020-03-02 23:00:00,7,1,19,11,NA,NA,NA,Taubaté
2020-03-03 00:00:00,9,0,16,9,NA,NA,NA,Taubaté
2020-03-03 01:00:00,9,NA,NA,NA,NA,NA,NA,NA
2020-03-03 02:00:00,12,0,19,10,NA,NA,NA,Taubaté
2020-03-03 03:00:00,20,0,10,5,NA,NA,NA,Taubaté
2020-03-03 04:00:00,19,0,8,4,NA,NA,NA,Taubaté
2020-03-03 05:00:00,16,1,10,6,NA,NA,NA,Taubaté
2020-03-03 06:00:00,NA,0,11,6,NA,NA,NA,Taubaté
2020-03-03 07:00:00,9,1,17,10,NA,NA,NA,Taubaté
2020-03-03 08:00:00,NA,7,14,13,NA,14,9,Taubaté
2020-03-03 09:00:00,15,5,16,12,NA,11,1,Taubaté
2020-03-03 10:00:00,18,8,18,16,NA,21,7,Taubaté
2020-03-03 11:00:00,26,6,17,14,NA,9,6,Taubaté
2020-03-03 12:00:00,40,5,17,13,NA,14,2,Taubaté
2020-03-03 13:00:00,61,2,14,9,NA,20,8,Taubaté
2020-03-03 14:00:00,64,3,14,10,NA,11,2,Taubaté
2020-03-03 15:00:00,73,2,10,7,NA,19,5,Taubaté
2020-03-03 16:00:00,72,1,10,6,NA,20,8,Taubaté
2020-03-03 17:00:00,49,1,7,4,NA,19,9,Taubaté
2020-03-03 18:00:00,40,3,16,11,NA,15,12,Taubaté
2020-03-03 19:00:00,27,1,17,10,NA,10,10,Taubaté
2020-03-03 20:00:00,18,1,15,9,NA,7,9,Taubaté
2020-03-03 21:00:00,13,1,20,12,NA,4,16,Taubaté
2020-03-03 22:00:00,16,0,16,9,NA,10,2,Taubaté
2020-03-03 23:00:00,23,0,8,4,NA,10,4,Taubaté
2020-03-04 00:00:00,22,0,9,5,NA,8,0,Taubaté
2020-03-04 01:00:00,20,NA,NA,NA,NA,5,1,NA
