name,code,lat,lon,o3,no,no2,nox,co,pm10,pm25,nox_mi
Americana,290,-22.7242526995067,-47.3395492909725,NA,NA,NA,NA,NA,26.0642164423878,NA,NA
Araçatuba,107,-21.1868410998752,-50.4393168498844,-14.2075078206465,NA,NA,NA,NA,-13.1580555781925,NA,NA
Araraquara,106,-21.7825221457448,-48.1858318132219,3.95669934640523,-9.47187141216992,-12.6506504908612,-15.718418514947,NA,-7.06097115735671,NA,-12.2626305094247
Bauru,108,-22.326608396587,-49.092759305391,5.62153602533651,20.7253886010363,21.1505922165821,21.1928934010152,NA,4.08860321669453,NA,21.0909090909091
Cambuci,90,-23.5677084050662,-46.6122728561358,NA,NA,NA,NA,NA,NA,NA,NA
Campinas-Centro,89,-22.9025248038637,-47.0572107427735,NA,NA,NA,NA,-27.3926767676768,17.7659574468085,NA,NA
Campinas-Taquaral,276,-22.8746189449543,-47.0589727566842,3.42908902691511,8.7719298245614,78.93864013267,70.5722070844687,NA,NA,NA,72.8787878787879
Campinas-V.União,275,-22.9467284160848,-47.1192808618633,-21.9104626512034,NA,NA,NA,NA,NA,17.4679487179487,NA
Capão Redondo,269,-23.6683561456718,-46.7800433836767,6.68731540291173,NA,NA,NA,NA,42.5654381679625,NA,NA
Carapicuíba,263,-23.5313950283077,-46.8357797276639,-5.66127931004314,NA,NA,NA,44.5741392175674,31.9057087360787,NA,NA
Catanduva,248,-21.1419427576013,-48.9830752705603,-8.52169029903131,-4.27807486631017,10.9972677595628,8.84861407249467,NA,-6.7287784679089,NA,9.267110841914
Centro,94,-23.5478061597037,-46.6424144996321,NA,NA,NA,NA,NA,NA,NA,NA
Cerqueira César,91,-23.5535425616777,-46.6727047692529,NA,18.9026781266891,37.8849122278619,30.6989212721697,50.8266424933092,27.8304995754949,NA,33.251149963522
Cid.Universitária-USP-Ipen,95,-23.5663417755292,-46.7374142819519,2.54619681993983,NA,NA,NA,NA,NA,35.9799713876967,NA
Congonhas,73,-23.6163200788182,-46.6634655273702,NA,14.1357688113413,12.9127563434133,13.1847847583888,34.6199431099874,24.7368183647694,30.0492610837438,13.2775022359541
Cubatão-Centro,87,-23.8790267306876,-46.418483361896,0.75428372113303,-62.4683689901081,2.14146658014276,-48.0977576215671,NA,-6.77739450210464,NA,-42.6294185629459
Cubatão-V.Parisi,66,-23.8494161699591,-46.3886762431427,NA,-6.37858282410473,17.4479108489899,-1.13425205009371,NA,2.61581291327087,NA,0.511484168135681
