date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,19,NA,NA,NA,NA,19,NA,NA
2020-03-01 02:00:00,20,1,8,5,NA,17,NA,Araraquara
2020-03-01 03:00:00,24,0,6,3,NA,8,NA,Araraquara
2020-03-01 04:00:00,25,0,6,3,NA,3,NA,Araraquara
2020-03-01 05:00:00,18,1,10,6,NA,4,NA,Araraquara
2020-03-01 06:00:00,NA,0,7,4,NA,8,NA,Araraquara
2020-03-01 07:00:00,18,1,9,5,NA,12,NA,Araraquara
2020-03-01 08:00:00,19,1,9,6,NA,7,NA,Araraquara
2020-03-01 09:00:00,21,4,12,10,NA,5,NA,Araraquara
2020-03-01 10:00:00,37,1,5,3,NA,6,NA,Araraquara
2020-03-01 11:00:00,50,0,3,2,NA,12,NA,Araraquara
2020-03-01 12:00:00,56,1,3,2,NA,3,NA,Araraquara
2020-03-01 13:00:00,63,0,3,2,NA,15,NA,Araraquara
2020-03-01 14:00:00,64,0,2,1,NA,6,NA,Araraquara
2020-03-01 15:00:00,71,0,3,2,NA,14,NA,Araraquara
2020-03-01 16:00:00,73,0,3,2,NA,3,NA,Araraquara
2020-03-01 17:00:00,75,0,3,2,NA,7,NA,Araraquara
2020-03-01 18:00:00,65,0,3,2,NA,10,NA,Araraquara
2020-03-01 19:00:00,65,0,4,2,NA,13,NA,Araraquara
2020-03-01 20:00:00,59,0,7,4,NA,3,NA,Araraquara
2020-03-01 21:00:00,38,0,7,4,NA,13,NA,Araraquara
2020-03-01 22:00:00,33,1,8,5,NA,7,NA,Araraquara
2020-03-01 23:00:00,29,0,10,6,NA,7,NA,Araraquara
2020-03-02 00:00:00,18,0,15,8,NA,7,NA,Araraquara
2020-03-02 01:00:00,18,NA,NA,NA,NA,8,NA,NA
2020-03-02 02:00:00,22,0,7,4,NA,13,NA,Araraquara
2020-03-02 03:00:00,21,1,8,5,NA,11,NA,Araraquara
2020-03-02 04:00:00,23,0,6,3,NA,6,NA,Araraquara
2020-03-02 05:00:00,19,0,9,5,NA,4,NA,Araraquara
2020-03-02 06:00:00,NA,0,11,6,NA,11,NA,Araraquara
2020-03-02 07:00:00,13,2,13,8,NA,11,NA,Araraquara
2020-03-02 08:00:00,13,8,14,14,NA,7,NA,Araraquara
2020-03-02 09:00:00,22,7,11,12,NA,9,NA,Araraquara
2020-03-02 10:00:00,33,3,7,6,NA,7,NA,Araraquara
2020-03-02 11:00:00,45,1,6,4,NA,16,NA,Araraquara
2020-03-02 12:00:00,59,1,5,3,NA,4,NA,Araraquara
2020-03-02 13:00:00,65,1,5,3,NA,5,NA,Araraquara
2020-03-02 14:00:00,61,1,4,3,NA,10,NA,Araraquara
2020-03-02 15:00:00,61,1,4,3,NA,5,NA,Araraquara
