date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,29,33,41,0.3,6,5,Congonhas
2020-03-01 02:00:00,NA,11,23,22,0.2,10,4,Congonhas
2020-03-01 03:00:00,NA,7,18,15,0.2,6,6,Congonhas
2020-03-01 04:00:00,NA,12,23,22,0.2,4,3,Congonhas
2020-03-01 05:00:00,NA,13,22,21,0.2,3,4,Congonhas
2020-03-01 06:00:00,NA,25,34,38,0.4,5,3,Congonhas
2020-03-01 07:00:00,NA,37,38,51,0.4,16,4,Congonhas
2020-03-01 08:00:00,NA,38,44,54,0.4,2,7,Congonhas
2020-03-01 09:00:00,NA,44,42,58,0.4,6,2,Congonhas
2020-03-01 10:00:00,NA,32,37,46,0.4,5,2,Congonhas
2020-03-01 11:00:00,NA,52,47,68,0.4,18,6,Congonhas
2020-03-01 12:00:00,NA,34,40,49,0.4,5,4,Congonhas
2020-03-01 13:00:00,NA,37,37,50,0.5,12,0,Congonhas
2020-03-01 14:00:00,NA,20,30,32,0.4,22,9,Congonhas
2020-03-01 15:00:00,NA,30,42,47,0.5,11,11,Congonhas
2020-03-01 16:00:00,NA,43,40,56,0.5,15,11,Congonhas
2020-03-01 17:00:00,NA,41,42,56,0.5,7,11,Congonhas
2020-03-01 18:00:00,NA,35,37,49,0.5,14,2,Congonhas
2020-03-01 19:00:00,NA,44,41,58,0.6,12,7,Congonhas
2020-03-01 20:00:00,NA,16,31,30,0.5,10,10,Congonhas
2020-03-01 21:00:00,NA,12,27,24,0.4,12,5,Congonhas
2020-03-01 22:00:00,NA,17,28,28,0.4,9,8,Congonhas
2020-03-01 23:00:00,NA,45,35,56,0.5,10,4,Congonhas
2020-03-02 00:00:00,NA,21,25,31,0.3,12,8,Congonhas
2020-03-02 01:00:00,NA,20,22,28,0.2,11,6,Congonhas
2020-03-02 02:00:00,NA,12,16,19,0.1,7,4,Congonhas
2020-03-02 03:00:00,NA,50,36,60,0.2,7,6,Congonhas
2020-03-02 04:00:00,NA,45,34,55,0.2,18,7,Congonhas
2020-03-02 05:00:00,NA,67,38,73,0.3,17,10,Congonhas
