date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,8,NA,NA,NA,NA,11,NA,NA
2020-03-01 02:00:00,24,2,19,12,NA,2,NA,Cubatão-Centro
2020-03-01 03:00:00,29,0,12,7,NA,8,NA,Cubatão-Centro
2020-03-01 04:00:00,37,0,7,4,NA,3,NA,Cubatão-Centro
2020-03-01 05:00:00,32,1,11,6,NA,0,NA,Cubatão-Centro
2020-03-01 06:00:00,NA,3,21,14,NA,0,NA,Cubatão-Centro
2020-03-01 07:00:00,10,15,41,34,NA,7,NA,Cubatão-Centro
2020-03-01 08:00:00,21,4,22,15,NA,7,NA,Cubatão-Centro
2020-03-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 11:00:00,25,5,15,13,NA,9,NA,Cubatão-Centro
2020-03-01 12:00:00,30,5,13,10,NA,15,NA,Cubatão-Centro
2020-03-01 13:00:00,28,2,8,6,NA,5,NA,Cubatão-Centro
2020-03-01 14:00:00,26,2,9,7,NA,17,NA,Cubatão-Centro
2020-03-01 15:00:00,29,2,8,6,NA,14,NA,Cubatão-Centro
2020-03-01 16:00:00,32,1,6,4,NA,3,NA,Cubatão-Centro
2020-03-01 17:00:00,13,22,37,38,NA,12,NA,Cubatão-Centro
2020-03-01 18:00:00,18,3,21,14,NA,5,NA,Cubatão-Centro
2020-03-01 19:00:00,12,5,29,19,NA,3,NA,Cubatão-Centro
2020-03-01 20:00:00,16,3,25,16,NA,11,NA,Cubatão-Centro
2020-03-01 21:00:00,18,1,19,11,NA,1,NA,Cubatão-Centro
2020-03-01 22:00:00,16,2,18,11,NA,5,NA,Cubatão-Centro
2020-03-01 23:00:00,24,1,5,3,NA,1,NA,Cubatão-Centro
2020-03-02 00:00:00,6,11,27,23,NA,4,NA,Cubatão-Centro
2020-03-02 01:00:00,5,NA,NA,NA,NA,15,NA,NA
2020-03-02 02:00:00,10,6,23,17,NA,9,NA,Cubatão-Centro
2020-03-02 03:00:00,12,1,26,15,NA,14,NA,Cubatão-Centro
2020-03-02 04:00:00,9,3,35,21,NA,0,NA,Cubatão-Centro
2020-03-02 05:00:00,6,25,45,44,NA,13,NA,Cubatão-Centro
2020-03-02 06:00:00,NA,11,33,26,NA,14,NA,Cubatão-Centro
2020-03-02 07:00:00,5,56,55,75,NA,8,NA,Cubatão-Centro
2020-03-02 08:00:00,6,51,40,63,NA,16,NA,Cubatão-Centro
2020-03-02 09:00:00,18,21,24,30,NA,8,NA,Cubatão-Centro
2020-03-02 10:00:00,27,5,14,12,NA,3,NA,Cubatão-Centro
2020-03-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 12:00:00,34,4,42,26,NA,12,NA,Cubatão-Centro
2020-03-02 13:00:00,37,4,34,21,NA,2,NA,Cubatão-Centro
2020-03-02 14:00:00,41,13,18,20,NA,12,NA,Cubatão-Centro
2020-03-02 15:00:00,42,12,12,16,NA,6,NA,Cubatão-Centro
2020-03-02 16:00:00,34,14,17,20,NA,5,NA,Cubatão-Centro
2020-03-02 17:00:00,26,25,26,34,NA,5,NA,Cubatão-Centro
2020-03-02 18:00:00,19,19,32,33,NA,3,NA,Cubatão-Centro
2020-03-02 19:00:00,12,18,39,36,NA,8,NA,Cubatão-Centro
2020-03-02 20:00:00,15,13,34,29,NA,11,NA,Cubatão-Centro
2020-03-02 21:00:00,32,10,17,17,NA,1,NA,Cubatão-Centro
2020-03-02 22:00:00,25,15,27,27,NA,8,NA,Cubatão-Centro
2020-03-02 23:00:00,34,10,16,16,NA,0,NA,Cubatão-Centro
2020-03-03 00:00:00,34,11,19,19,NA,2,NA,Cubatão-Centro
2020-03-03 01:00:00,29,NA,NA,NA,NA,8,NA,NA
2020-03-03 02:00:00,36,0,11,6,NA,2,NA,Cubatão-Centro
2020-03-03 03:00:00,29,1,19,11,NA,9,NA,Cubatão-Centro
2020-03-03 04:00:00,9,11,40,31,NA,17,NA,Cubatão-Centro
