date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,Grajaú-Parelheiros
2020-03-01 01:00:00,33,NA,NA,NA,0.2,2,5,Grajaú-Parelheiros
2020-03-01 02:00:00,36,NA,NA,NA,0.1,8,1,Grajaú-Parelheiros
2020-03-01 03:00:00,42,NA,NA,NA,0.1,5,3,Grajaú-Parelheiros
2020-03-01 04:00:00,43,NA,NA,NA,0.1,6,2,Grajaú-Parelheiros
2020-03-01 05:00:00,NA,NA,NA,NA,NA,3,3,Grajaú-Parelheiros
2020-03-01 06:00:00,38,NA,NA,NA,0.1,1,1,Grajaú-Parelheiros
2020-03-01 07:00:00,35,NA,NA,NA,0.1,4,3,Grajaú-Parelheiros
2020-03-01 08:00:00,36,NA,NA,NA,0.1,1,1,Grajaú-Parelheiros
2020-03-01 09:00:00,34,NA,NA,NA,0.1,0,1,Grajaú-Parelheiros
2020-03-01 10:00:00,32,NA,NA,NA,0.1,2,0,Grajaú-Parelheiros
2020-03-01 11:00:00,31,NA,NA,NA,0.2,6,1,Grajaú-Parelheiros
2020-03-01 12:00:00,32,NA,NA,NA,0.2,1,0,Grajaú-Parelheiros
2020-03-01 13:00:00,34,NA,NA,NA,0.3,8,3,Grajaú-Parelheiros
2020-03-01 14:00:00,33,NA,NA,NA,0.3,6,2,Grajaú-Parelheiros
2020-03-01 15:00:00,31,NA,NA,NA,0.2,8,1,Grajaú-Parelheiros
2020-03-01 16:00:00,31,NA,NA,NA,0.2,13,7,Grajaú-Parelheiros
2020-03-01 17:00:00,28,NA,NA,NA,0.2,13,5,Grajaú-Parelheiros
2020-03-01 18:00:00,25,NA,NA,NA,0.2,13,13,Grajaú-Parelheiros
2020-03-01 19:00:00,27,NA,NA,NA,0.3,7,5,Grajaú-Parelheiros
2020-03-01 20:00:00,25,NA,NA,NA,0.3,20,13,Grajaú-Parelheiros
2020-03-01 21:00:00,26,NA,NA,NA,0.2,4,7,Grajaú-Parelheiros
