date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,34,0,10,6,0.2,NA,3,Ibirapuera
2020-03-01 02:00:00,43,1,6,5,0.2,NA,0,Ibirapuera
2020-03-01 03:00:00,47,0,3,2,0.2,NA,0,Ibirapuera
2020-03-01 04:00:00,45,0,4,2,0.2,NA,1,Ibirapuera
2020-03-01 05:00:00,49,0,4,2,0.2,NA,1,Ibirapuera
2020-03-01 06:00:00,41,0,6,3,0.1,NA,1,Ibirapuera
2020-03-01 07:00:00,36,1,10,5,0.1,NA,0,Ibirapuera
2020-03-01 08:00:00,34,1,10,6,0.1,NA,2,Ibirapuera
2020-03-01 09:00:00,40,1,7,5,0.1,NA,3,Ibirapuera
2020-03-01 10:00:00,38,1,6,4,0.1,NA,1,Ibirapuera
2020-03-01 11:00:00,38,2,7,5,0.1,NA,1,Ibirapuera
2020-03-01 12:00:00,45,1,8,5,0.1,NA,3,Ibirapuera
2020-03-01 13:00:00,52,1,5,4,0.1,NA,5,Ibirapuera
2020-03-01 14:00:00,53,1,5,4,0.1,NA,9,Ibirapuera
2020-03-01 15:00:00,50,1,8,5,0.2,NA,3,Ibirapuera
2020-03-01 16:00:00,42,1,8,5,0.1,NA,2,Ibirapuera
2020-03-01 17:00:00,41,1,8,5,0.2,NA,1,Ibirapuera
2020-03-01 18:00:00,39,1,8,5,0.2,NA,2,Ibirapuera
2020-03-01 19:00:00,30,1,13,8,0.2,NA,3,Ibirapuera
2020-03-01 20:00:00,28,0,14,8,0.2,NA,4,Ibirapuera
2020-03-01 21:00:00,27,0,14,8,0.2,NA,3,Ibirapuera
2020-03-01 22:00:00,20,0,17,9,0.2,NA,3,Ibirapuera
2020-03-01 23:00:00,20,0,15,8,0.2,NA,2,Ibirapuera
2020-03-02 00:00:00,27,0,8,5,0.1,NA,3,Ibirapuera
2020-03-02 01:00:00,24,0,8,4,0.1,NA,1,Ibirapuera
2020-03-02 02:00:00,30,1,6,4,0.1,NA,2,Ibirapuera
2020-03-02 03:00:00,31,0,7,4,0.1,NA,1,Ibirapuera
2020-03-02 04:00:00,24,0,8,4,0.1,NA,2,Ibirapuera
2020-03-02 05:00:00,22,0,15,8,0.1,NA,2,Ibirapuera
2020-03-02 06:00:00,22,0,20,11,0.1,NA,6,Ibirapuera
2020-03-02 07:00:00,22,2,25,15,0.2,NA,5,Ibirapuera
2020-03-02 08:00:00,31,3,21,14,0.2,NA,2,Ibirapuera
2020-03-02 09:00:00,38,4,19,14,0.5,NA,9,Ibirapuera
2020-03-02 10:00:00,42,3,16,11,0.2,NA,17,Ibirapuera
2020-03-02 11:00:00,45,3,14,10,0.2,NA,14,Ibirapuera
2020-03-02 12:00:00,54,2,14,9,0.2,NA,6,Ibirapuera
2020-03-02 13:00:00,61,2,14,10,0.2,NA,4,Ibirapuera
2020-03-02 14:00:00,65,2,11,7,0.2,NA,2,Ibirapuera
2020-03-02 15:00:00,61,1,12,8,0.2,NA,3,Ibirapuera
2020-03-02 16:00:00,53,1,14,9,0.2,NA,5,Ibirapuera
2020-03-02 17:00:00,45,1,16,9,0.2,NA,1,Ibirapuera
2020-03-02 18:00:00,32,2,21,12,0.2,NA,3,Ibirapuera
2020-03-02 19:00:00,24,2,27,16,0.3,NA,2,Ibirapuera
2020-03-02 20:00:00,31,0,22,12,0.2,NA,3,Ibirapuera
2020-03-02 21:00:00,39,0,15,8,0.2,NA,1,Ibirapuera
2020-03-02 22:00:00,35,0,17,9,0.2,NA,2,Ibirapuera
2020-03-02 23:00:00,34,0,18,10,0.2,NA,1,Ibirapuera
2020-03-03 00:00:00,34,0,16,9,0.2,NA,0,Ibirapuera
2020-03-03 01:00:00,38,0,13,7,0.1,NA,1,Ibirapuera
2020-03-03 02:00:00,40,0,11,6,0.1,NA,0,Ibirapuera
2020-03-03 03:00:00,41,0,7,4,0.1,NA,2,Ibirapuera
2020-03-03 04:00:00,47,0,5,3,0.1,NA,1,Ibirapuera
2020-03-03 05:00:00,40,0,8,5,0.1,NA,3,Ibirapuera
2020-03-03 06:00:00,34,0,11,6,0.1,NA,0,Ibirapuera
2020-03-03 07:00:00,27,1,18,10,0.1,NA,3,Ibirapuera
2020-03-03 08:00:00,20,4,26,17,0.2,NA,1,Ibirapuera
2020-03-03 09:00:00,26,6,23,17,0.2,NA,6,Ibirapuera
2020-03-03 10:00:00,34,4,19,14,0.2,NA,5,Ibirapuera
2020-03-03 11:00:00,38,4,17,13,0.2,NA,3,Ibirapuera
2020-03-03 12:00:00,45,3,13,10,0.1,NA,8,Ibirapuera
2020-03-03 13:00:00,46,3,14,10,0.2,NA,3,Ibirapuera
2020-03-03 14:00:00,41,3,15,10,0.2,NA,3,Ibirapuera
2020-03-03 15:00:00,38,4,17,12,0.2,NA,1,Ibirapuera
2020-03-03 16:00:00,36,3,16,11,0.2,NA,3,Ibirapuera
2020-03-03 17:00:00,29,4,20,14,0.2,NA,0,Ibirapuera
2020-03-03 18:00:00,30,3,20,13,0.2,NA,1,Ibirapuera
2020-03-03 19:00:00,28,1,22,13,0.2,NA,2,Ibirapuera
2020-03-03 20:00:00,25,1,24,14,0.2,NA,3,Ibirapuera
2020-03-03 21:00:00,26,1,20,11,0.2,NA,4,Ibirapuera
2020-03-03 22:00:00,26,1,20,11,0.2,NA,3,Ibirapuera
2020-03-03 23:00:00,23,1,20,11,0.2,NA,2,Ibirapuera
2020-03-04 00:00:00,25,0,19,10,0.2,NA,2,Ibirapuera
2020-03-04 01:00:00,12,1,20,11,0.2,NA,3,Ibirapuera
2020-03-04 02:00:00,17,2,17,11,0.2,NA,13,Ibirapuera
2020-03-04 03:00:00,10,0,15,8,0.2,NA,11,Ibirapuera
2020-03-04 04:00:00,6,1,17,10,0.2,NA,7,Ibirapuera
2020-03-04 05:00:00,8,1,13,8,0.2,NA,4,Ibirapuera
2020-03-04 06:00:00,13,1,16,9,0.1,NA,2,Ibirapuera
2020-03-04 07:00:00,17,1,15,9,0.1,NA,3,Ibirapuera
2020-03-04 08:00:00,17,7,24,19,0.2,NA,3,Ibirapuera
2020-03-04 09:00:00,26,6,20,15,0.2,NA,6,Ibirapuera
2020-03-04 10:00:00,33,4,18,13,0.2,NA,2,Ibirapuera
2020-03-04 11:00:00,49,3,16,11,0.2,NA,5,Ibirapuera
2020-03-04 12:00:00,60,3,21,13,0.2,NA,4,Ibirapuera
2020-03-04 13:00:00,77,1,18,11,0.2,NA,10,Ibirapuera
2020-03-04 14:00:00,78,1,17,10,0.2,NA,5,Ibirapuera
2020-03-04 15:00:00,67,2,18,11,0.2,NA,7,Ibirapuera
2020-03-04 16:00:00,53,2,18,11,0.2,NA,6,Ibirapuera
2020-03-04 17:00:00,46,2,18,12,0.2,NA,6,Ibirapuera
2020-03-04 18:00:00,33,1,17,10,0.2,NA,8,Ibirapuera
2020-03-04 19:00:00,24,2,22,13,0.2,NA,2,Ibirapuera
2020-03-04 20:00:00,23,1,24,14,0.2,NA,8,Ibirapuera
2020-03-04 21:00:00,28,1,20,11,0.2,NA,7,Ibirapuera
2020-03-04 22:00:00,23,1,22,12,0.2,NA,4,Ibirapuera
2020-03-04 23:00:00,21,1,21,12,0.2,NA,6,Ibirapuera
2020-03-05 00:00:00,7,2,29,18,0.2,NA,6,Ibirapuera
2020-03-05 01:00:00,5,11,31,25,0.3,NA,6,Ibirapuera
2020-03-05 02:00:00,8,4,21,14,0.2,NA,4,Ibirapuera
2020-03-05 03:00:00,6,2,21,12,0.2,NA,1,Ibirapuera
2020-03-05 04:00:00,5,5,22,16,0.2,NA,4,Ibirapuera
2020-03-05 05:00:00,4,5,20,15,0.3,NA,7,Ibirapuera
2020-03-05 06:00:00,4,16,21,24,0.2,NA,12,Ibirapuera
2020-03-05 07:00:00,7,6,19,15,0.2,NA,4,Ibirapuera
2020-03-05 08:00:00,12,19,29,31,0.3,NA,5,Ibirapuera
2020-03-05 09:00:00,25,13,26,24,0.3,NA,6,Ibirapuera
2020-03-05 10:00:00,43,6,20,15,0.2,NA,6,Ibirapuera
2020-03-05 11:00:00,52,4,15,11,0.2,NA,9,Ibirapuera
2020-03-05 12:00:00,58,2,10,7,0.1,NA,9,Ibirapuera
2020-03-05 13:00:00,58,2,9,6,0.1,NA,3,Ibirapuera
2020-03-05 14:00:00,58,1,9,6,0.1,NA,3,Ibirapuera
2020-03-05 15:00:00,56,2,11,7,0.1,NA,6,Ibirapuera
2020-03-05 16:00:00,50,2,10,7,0.1,NA,5,Ibirapuera
2020-03-05 17:00:00,38,2,12,8,0.1,NA,6,Ibirapuera
2020-03-05 18:00:00,30,2,17,11,0.2,NA,3,Ibirapuera
2020-03-05 19:00:00,22,2,22,13,0.2,NA,3,Ibirapuera
2020-03-05 20:00:00,22,1,22,13,0.2,NA,3,Ibirapuera
2020-03-05 21:00:00,26,1,18,10,0.2,NA,4,Ibirapuera
2020-03-05 22:00:00,28,1,16,9,0.2,NA,6,Ibirapuera
2020-03-05 23:00:00,23,1,19,11,0.2,NA,7,Ibirapuera
2020-03-06 00:00:00,15,1,22,12,0.2,NA,1,Ibirapuera
2020-03-06 01:00:00,14,1,21,12,0.2,NA,3,Ibirapuera
2020-03-06 02:00:00,27,2,14,9,0.1,NA,1,Ibirapuera
2020-03-06 03:00:00,30,0,12,7,0.1,NA,4,Ibirapuera
2020-03-06 04:00:00,36,0,8,4,0.1,NA,1,Ibirapuera
2020-03-06 05:00:00,31,0,8,5,0.1,NA,5,Ibirapuera
2020-03-06 06:00:00,20,1,16,9,0.1,NA,1,Ibirapuera
2020-03-06 07:00:00,21,2,18,11,0.1,NA,7,Ibirapuera
2020-03-06 08:00:00,25,5,21,15,0.2,NA,8,Ibirapuera
2020-03-06 09:00:00,37,5,17,13,0.2,NA,6,Ibirapuera
2020-03-06 10:00:00,53,4,17,12,0.2,NA,6,Ibirapuera
2020-03-06 11:00:00,75,2,13,9,0.2,NA,9,Ibirapuera
2020-03-06 12:00:00,90,1,12,7,0.1,NA,5,Ibirapuera
2020-03-06 13:00:00,92,1,12,7,0.1,NA,7,Ibirapuera
2020-03-06 14:00:00,103,1,12,8,0.1,NA,10,Ibirapuera
2020-03-06 15:00:00,113,1,14,8,0.2,NA,10,Ibirapuera
2020-03-06 16:00:00,97,1,13,8,0.2,NA,9,Ibirapuera
2020-03-06 17:00:00,76,2,13,8,0.2,NA,9,Ibirapuera
2020-03-06 18:00:00,61,1,16,10,0.2,NA,11,Ibirapuera
2020-03-06 19:00:00,42,1,22,12,0.2,NA,7,Ibirapuera
2020-03-06 20:00:00,31,1,23,13,0.2,NA,6,Ibirapuera
2020-03-06 21:00:00,24,1,26,15,0.2,NA,8,Ibirapuera
2020-03-06 22:00:00,19,2,29,17,0.3,NA,9,Ibirapuera
2020-03-06 23:00:00,31,1,19,11,0.2,NA,14,Ibirapuera
2020-03-07 00:00:00,25,1,22,12,0.2,NA,11,Ibirapuera
2020-03-07 01:00:00,29,1,18,10,0.2,NA,10,Ibirapuera
2020-03-07 02:00:00,39,2,9,7,0.1,NA,10,Ibirapuera
2020-03-07 03:00:00,42,0,7,4,0.1,NA,5,Ibirapuera
2020-03-07 04:00:00,46,0,5,3,0.1,NA,4,Ibirapuera
2020-03-07 05:00:00,41,0,7,4,0.1,NA,8,Ibirapuera
2020-03-07 06:00:00,26,0,9,5,0.1,NA,6,Ibirapuera
2020-03-07 07:00:00,18,1,17,10,0.2,NA,5,Ibirapuera
2020-03-07 08:00:00,31,3,18,12,0.2,NA,7,Ibirapuera
2020-03-07 09:00:00,42,3,14,10,0.2,NA,3,Ibirapuera
2020-03-07 10:00:00,53,3,16,11,0.2,NA,8,Ibirapuera
2020-03-07 11:00:00,69,2,17,11,0.2,NA,13,Ibirapuera
2020-03-07 12:00:00,90,1,13,8,0.2,NA,6,Ibirapuera
2020-03-07 13:00:00,113,0,12,7,0.2,NA,9,Ibirapuera
2020-03-07 14:00:00,122,1,15,8,0.2,NA,7,Ibirapuera
2020-03-07 15:00:00,125,0,15,8,0.2,NA,13,Ibirapuera
2020-03-07 16:00:00,119,1,12,7,0.2,NA,15,Ibirapuera
2020-03-07 17:00:00,102,0,11,6,0.2,NA,15,Ibirapuera
2020-03-07 18:00:00,79,0,13,7,0.2,NA,14,Ibirapuera
2020-03-07 19:00:00,52,0,17,9,0.2,NA,8,Ibirapuera
2020-03-07 20:00:00,43,0,17,10,0.2,NA,13,Ibirapuera
2020-03-07 21:00:00,42,0,13,7,0.2,NA,11,Ibirapuera
2020-03-07 22:00:00,40,0,13,7,0.2,NA,13,Ibirapuera
2020-03-07 23:00:00,33,0,16,9,0.2,NA,7,Ibirapuera
2020-03-08 00:00:00,33,0,15,8,0.2,NA,7,Ibirapuera
2020-03-08 01:00:00,36,0,10,6,0.2,NA,7,Ibirapuera
2020-03-08 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 08:00:00,33,1,10,6,0.2,NA,9,Ibirapuera
2020-03-08 09:00:00,34,2,9,7,0.2,NA,7,Ibirapuera
2020-03-08 10:00:00,42,2,9,6,0.2,NA,7,Ibirapuera
2020-03-08 11:00:00,59,1,9,6,0.2,NA,8,Ibirapuera
2020-03-08 12:00:00,85,1,11,6,0.2,NA,11,Ibirapuera
2020-03-08 13:00:00,118,0,10,6,0.3,NA,10,Ibirapuera
2020-03-08 14:00:00,147,0,12,7,0.3,NA,12,Ibirapuera
2020-03-08 15:00:00,111,0,14,7,0.3,NA,21,Ibirapuera
2020-03-08 16:00:00,53,0,23,13,0.4,NA,5,Ibirapuera
2020-03-08 17:00:00,66,0,17,9,0.3,NA,13,Ibirapuera
2020-03-08 18:00:00,62,0,15,8,0.3,NA,14,Ibirapuera
2020-03-08 19:00:00,47,0,23,12,0.3,NA,14,Ibirapuera
2020-03-08 20:00:00,41,0,20,11,0.3,NA,10,Ibirapuera
2020-03-08 21:00:00,41,0,17,9,0.3,NA,11,Ibirapuera
2020-03-08 22:00:00,42,0,13,7,0.3,NA,9,Ibirapuera
2020-03-08 23:00:00,37,0,14,8,0.3,NA,10,Ibirapuera
2020-03-09 00:00:00,37,0,12,6,0.3,NA,9,Ibirapuera
2020-03-09 01:00:00,31,0,14,8,0.3,NA,4,Ibirapuera
2020-03-09 02:00:00,22,2,12,8,0.3,NA,5,Ibirapuera
2020-03-09 03:00:00,29,0,10,5,0.2,NA,7,Ibirapuera
2020-03-09 04:00:00,30,0,9,5,0.2,NA,9,Ibirapuera
2020-03-09 05:00:00,28,0,10,5,0.2,NA,9,Ibirapuera
2020-03-09 06:00:00,24,0,12,6,NA,NA,9,Ibirapuera
2020-03-09 07:00:00,14,1,15,9,NA,NA,9,Ibirapuera
2020-03-09 08:00:00,21,6,26,19,NA,NA,6,Ibirapuera
2020-03-09 09:00:00,35,9,34,25,NA,NA,9,Ibirapuera
2020-03-09 10:00:00,48,9,41,29,NA,NA,10,Ibirapuera
2020-03-09 11:00:00,NA,NA,NA,NA,NA,NA,15,NA
2020-03-09 12:00:00,NA,NA,NA,NA,NA,NA,12,NA
2020-03-09 13:00:00,163,0,29,16,0.3,NA,11,Ibirapuera
2020-03-09 14:00:00,186,0,25,13,0.3,NA,21,Ibirapuera
2020-03-09 15:00:00,175,0,21,11,0.2,NA,22,Ibirapuera
2020-03-09 16:00:00,153,0,21,11,0.2,NA,20,Ibirapuera
2020-03-09 17:00:00,115,0,19,11,0.2,NA,17,Ibirapuera
2020-03-09 18:00:00,87,0,21,11,0.2,NA,16,Ibirapuera
2020-03-09 19:00:00,65,0,22,12,0.2,NA,13,Ibirapuera
2020-03-09 20:00:00,54,0,23,12,0.2,NA,12,Ibirapuera
2020-03-09 21:00:00,42,0,22,12,0.2,NA,12,Ibirapuera
2020-03-09 22:00:00,43,0,20,11,0.2,NA,7,Ibirapuera
2020-03-09 23:00:00,50,0,15,8,0.2,NA,6,Ibirapuera
2020-03-10 00:00:00,49,0,16,9,0.2,NA,9,Ibirapuera
2020-03-10 01:00:00,44,0,15,8,0.2,NA,10,Ibirapuera
