date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,NA,NA,NA,0.3,90,1,NA
2020-03-01 02:00:00,NA,7,10,11,0.2,17,1,Osasco
2020-03-01 03:00:00,NA,4,6,6,0.2,7,1,Osasco
2020-03-01 04:00:00,NA,4,5,6,0.1,5,0,Osasco
2020-03-01 05:00:00,NA,3,5,5,NA,5,3,Osasco
2020-03-01 06:00:00,NA,8,9,11,0.2,5,1,Osasco
2020-03-01 07:00:00,NA,6,9,10,0.2,12,1,Osasco
2020-03-01 08:00:00,NA,10,12,15,0.3,1,2,Osasco
2020-03-01 09:00:00,NA,13,11,16,0.3,12,2,Osasco
2020-03-01 10:00:00,NA,12,11,15,0.3,13,4,Osasco
2020-03-01 11:00:00,NA,12,9,14,0.3,14,5,Osasco
2020-03-01 12:00:00,NA,16,14,20,0.4,11,5,Osasco
2020-03-01 13:00:00,NA,17,17,23,0.4,8,6,Osasco
2020-03-01 14:00:00,NA,14,15,20,0.4,6,3,Osasco
2020-03-01 15:00:00,NA,12,15,17,0.4,11,7,Osasco
2020-03-01 16:00:00,NA,13,14,18,0.4,9,4,Osasco
2020-03-01 17:00:00,NA,14,13,18,0.4,23,3,Osasco
2020-03-01 18:00:00,NA,15,15,20,0.5,5,4,Osasco
2020-03-01 19:00:00,NA,18,18,24,0.5,14,5,Osasco
2020-03-01 20:00:00,NA,30,26,38,0.8,24,6,Osasco
2020-03-01 21:00:00,NA,23,23,31,0.6,21,4,Osasco
2020-03-01 22:00:00,NA,37,27,44,0.8,13,4,Osasco
2020-03-01 23:00:00,NA,30,25,38,0.7,31,10,Osasco
2020-03-02 00:00:00,NA,13,16,19,0.3,13,3,Osasco
2020-03-02 01:00:00,NA,NA,NA,NA,0.2,71,2,NA
2020-03-02 02:00:00,NA,4,10,9,0.2,15,4,Osasco
2020-03-02 03:00:00,NA,7,11,11,0.2,10,3,Osasco
2020-03-02 04:00:00,NA,21,20,28,0.3,15,4,Osasco
2020-03-02 05:00:00,NA,37,22,42,NA,8,15,Osasco
2020-03-02 06:00:00,NA,20,22,28,0.3,32,5,Osasco
2020-03-02 07:00:00,NA,57,33,63,0.9,4,9,Osasco
2020-03-02 08:00:00,NA,55,37,64,1.3,23,7,Osasco
2020-03-02 09:00:00,NA,49,34,58,0.9,23,9,Osasco
2020-03-02 10:00:00,NA,29,36,43,0.6,25,11,Osasco
2020-03-02 11:00:00,NA,32,40,48,0.6,NA,1,Osasco
2020-03-02 12:00:00,NA,35,32,45,0.6,NA,13,Osasco
2020-03-02 13:00:00,NA,37,41,51,0.7,20,NA,Osasco
2020-03-02 14:00:00,NA,42,43,57,0.6,12,NA,Osasco
2020-03-02 15:00:00,NA,47,47,63,0.8,36,11,Osasco
2020-03-02 16:00:00,NA,31,36,45,0.7,40,10,Osasco
2020-03-02 17:00:00,NA,32,34,44,0.7,35,13,Osasco
2020-03-02 18:00:00,NA,32,35,44,1,25,8,Osasco
2020-03-02 19:00:00,NA,24,32,37,1,4,6,Osasco
2020-03-02 20:00:00,NA,7,20,16,0.4,1,4,Osasco
2020-03-02 21:00:00,NA,9,19,17,0.3,1,2,Osasco
2020-03-02 22:00:00,NA,16,21,24,0.4,2,7,Osasco
2020-03-02 23:00:00,NA,22,25,31,0.5,9,5,Osasco
2020-03-03 00:00:00,NA,17,23,26,0.4,5,3,Osasco
2020-03-03 01:00:00,NA,NA,NA,NA,0.2,92,2,NA
2020-03-03 02:00:00,NA,4,10,8,0.1,29,2,Osasco
2020-03-03 03:00:00,NA,4,10,9,0.1,5,3,Osasco
2020-03-03 04:00:00,NA,6,11,11,0.1,18,3,Osasco
2020-03-03 05:00:00,NA,26,22,33,NA,22,6,Osasco
2020-03-03 06:00:00,NA,23,22,30,0.4,15,9,Osasco
2020-03-03 07:00:00,NA,19,28,30,0.5,6,4,Osasco
2020-03-03 08:00:00,NA,39,30,48,0.9,13,4,Osasco
2020-03-03 09:00:00,NA,30,26,39,0.7,28,8,Osasco
2020-03-03 10:00:00,NA,24,23,32,0.6,31,6,Osasco
2020-03-03 11:00:00,NA,25,23,33,0.6,13,6,Osasco
2020-03-03 12:00:00,NA,47,29,54,0.7,45,11,Osasco
2020-03-03 13:00:00,NA,42,29,49,0.7,53,15,Osasco
2020-03-03 14:00:00,NA,16,18,22,0.4,3,7,Osasco
2020-03-03 15:00:00,NA,24,21,31,0.5,14,6,Osasco
2020-03-03 16:00:00,NA,20,20,27,0.4,9,6,Osasco
