date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,28,0,10,6,0.1,3,9,Parque D.Pedro II
2020-03-01 02:00:00,32,1,9,5,0.1,4,12,Parque D.Pedro II
2020-03-01 03:00:00,32,0,9,5,0,3,3,Parque D.Pedro II
2020-03-01 04:00:00,33,0,8,5,0,0,4,Parque D.Pedro II
2020-03-01 05:00:00,36,0,7,4,0,4,5,Parque D.Pedro II
2020-03-01 06:00:00,33,0,9,5,0,16,1,Parque D.Pedro II
2020-03-01 07:00:00,28,1,12,7,0.1,2,6,Parque D.Pedro II
2020-03-01 08:00:00,27,1,11,7,0.1,1,0,Parque D.Pedro II
2020-03-01 09:00:00,30,2,9,7,0.1,1,7,Parque D.Pedro II
2020-03-01 10:00:00,31,2,9,6,0.1,3,0,Parque D.Pedro II
2020-03-01 11:00:00,32,2,9,7,0.1,2,6,Parque D.Pedro II
2020-03-01 12:00:00,40,1,9,6,0.1,3,4,Parque D.Pedro II
2020-03-01 13:00:00,44,2,11,7,0.1,0,8,Parque D.Pedro II
2020-03-01 14:00:00,45,1,8,5,0.1,4,1,Parque D.Pedro II
2020-03-01 15:00:00,43,2,9,6,0.1,6,11,Parque D.Pedro II
2020-03-01 16:00:00,34,1,11,7,0.1,7,16,Parque D.Pedro II
2020-03-01 17:00:00,31,1,11,7,0.1,7,4,Parque D.Pedro II
2020-03-01 18:00:00,32,1,11,7,0.1,6,9,Parque D.Pedro II
2020-03-01 19:00:00,25,1,15,9,0.1,3,4,Parque D.Pedro II
2020-03-01 20:00:00,25,1,15,9,0.1,3,6,Parque D.Pedro II
2020-03-01 21:00:00,24,1,15,8,0.1,5,6,Parque D.Pedro II
2020-03-01 22:00:00,17,1,17,10,0.2,7,4,Parque D.Pedro II
2020-03-01 23:00:00,10,3,23,14,0.2,7,11,Parque D.Pedro II
2020-03-02 00:00:00,16,1,15,9,0.1,6,4,Parque D.Pedro II
2020-03-02 01:00:00,16,2,13,8,0.1,1,5,Parque D.Pedro II
2020-03-02 02:00:00,19,1,12,7,0.1,0,4,Parque D.Pedro II
2020-03-02 03:00:00,28,0,7,4,0.1,1,2,Parque D.Pedro II
2020-03-02 04:00:00,17,1,18,10,0.1,2,3,Parque D.Pedro II
2020-03-02 05:00:00,15,2,21,13,0.1,5,7,Parque D.Pedro II
2020-03-02 06:00:00,7,7,28,21,0.1,24,8,Parque D.Pedro II
2020-03-02 07:00:00,9,10,32,25,0.2,19,5,Parque D.Pedro II
2020-03-02 08:00:00,21,8,27,21,0.3,5,2,Parque D.Pedro II
2020-03-02 09:00:00,28,10,25,22,0.2,8,5,Parque D.Pedro II
2020-03-02 10:00:00,32,9,26,21,0.2,9,6,Parque D.Pedro II
2020-03-02 11:00:00,34,6,23,17,0.2,13,16,Parque D.Pedro II
2020-03-02 12:00:00,47,5,22,15,0.2,8,8,Parque D.Pedro II
2020-03-02 13:00:00,50,4,20,14,0.2,11,9,Parque D.Pedro II
2020-03-02 14:00:00,48,2,18,12,0.2,6,11,Parque D.Pedro II
2020-03-02 15:00:00,41,2,19,12,0.1,7,9,Parque D.Pedro II
2020-03-02 16:00:00,33,3,22,15,0.2,20,7,Parque D.Pedro II
2020-03-02 17:00:00,26,4,26,16,0.2,43,2,Parque D.Pedro II
2020-03-02 18:00:00,20,5,28,19,0.2,15,11,Parque D.Pedro II
2020-03-02 19:00:00,15,4,28,19,0.3,2,11,Parque D.Pedro II
2020-03-02 20:00:00,18,2,25,15,0.2,0,1,Parque D.Pedro II
2020-03-02 21:00:00,18,4,27,18,0.2,0,10,Parque D.Pedro II
2020-03-02 22:00:00,26,2,20,12,0.1,0,3,Parque D.Pedro II
2020-03-02 23:00:00,25,2,20,12,0.1,1,6,Parque D.Pedro II
2020-03-03 00:00:00,26,1,19,11,0.1,2,2,Parque D.Pedro II
2020-03-03 01:00:00,27,1,17,10,0.1,2,11,Parque D.Pedro II
2020-03-03 02:00:00,29,1,13,8,0,1,3,Parque D.Pedro II
2020-03-03 03:00:00,29,1,11,6,0,1,0,Parque D.Pedro II
2020-03-03 04:00:00,30,1,10,5,0,6,2,Parque D.Pedro II
2020-03-03 05:00:00,22,1,17,10,0.1,2,6,Parque D.Pedro II
2020-03-03 06:00:00,23,1,15,9,0.1,7,2,Parque D.Pedro II
2020-03-03 07:00:00,12,6,25,18,0.2,4,6,Parque D.Pedro II
2020-03-03 08:00:00,13,8,27,20,0.2,20,1,Parque D.Pedro II
2020-03-03 09:00:00,14,10,27,23,0.3,11,2,Parque D.Pedro II
2020-03-03 10:00:00,21,12,26,23,0.3,2,3,Parque D.Pedro II
2020-03-03 11:00:00,25,6,24,18,0.2,6,2,Parque D.Pedro II
2020-03-03 12:00:00,34,4,16,12,0.1,2,5,Parque D.Pedro II
2020-03-03 13:00:00,27,7,21,17,0.2,8,7,Parque D.Pedro II
2020-03-03 14:00:00,26,7,21,17,0.2,6,4,Parque D.Pedro II
2020-03-03 15:00:00,30,6,19,15,0.2,8,4,Parque D.Pedro II
2020-03-03 16:00:00,26,7,20,16,0.2,4,5,Parque D.Pedro II
2020-03-03 17:00:00,24,6,20,15,0.2,35,11,Parque D.Pedro II
2020-03-03 18:00:00,23,4,19,13,0.2,2,0,Parque D.Pedro II
2020-03-03 19:00:00,19,4,22,15,0.2,1,14,Parque D.Pedro II
2020-03-03 20:00:00,20,2,20,13,0.2,2,3,Parque D.Pedro II
2020-03-03 21:00:00,18,3,23,14,0.2,3,2,Parque D.Pedro II
2020-03-03 22:00:00,15,4,26,17,0.2,22,5,Parque D.Pedro II
2020-03-03 23:00:00,16,3,23,15,0.1,5,4,Parque D.Pedro II
2020-03-04 00:00:00,16,3,23,15,0.1,3,6,Parque D.Pedro II
2020-03-04 01:00:00,11,4,29,19,0.1,4,4,Parque D.Pedro II
2020-03-04 02:00:00,19,1,19,11,0.1,0,5,Parque D.Pedro II
2020-03-04 03:00:00,9,3,27,17,0.2,5,6,Parque D.Pedro II
2020-03-04 04:00:00,10,4,25,16,0.1,29,9,Parque D.Pedro II
