date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,30,NA,NA,NA,NA,31,NA,NA
2020-03-01 02:00:00,32,0,4,2,NA,4,NA,S.José Campos
2020-03-01 03:00:00,34,0,2,2,NA,5,NA,S.José Campos
2020-03-01 04:00:00,33,0,3,2,NA,4,NA,S.José Campos
2020-03-01 05:00:00,31,1,3,2,NA,10,NA,S.José Campos
2020-03-01 06:00:00,NA,1,5,3,NA,3,NA,S.José Campos
2020-03-01 07:00:00,29,2,6,5,NA,5,NA,S.José Campos
2020-03-01 08:00:00,33,2,4,4,NA,8,NA,S.José Campos
2020-03-01 09:00:00,31,2,6,5,NA,5,NA,S.José Campos
2020-03-01 10:00:00,33,2,5,5,NA,10,NA,S.José Campos
2020-03-01 11:00:00,39,2,3,3,NA,9,NA,S.José Campos
2020-03-01 12:00:00,38,1,2,2,NA,4,NA,S.José Campos
2020-03-01 13:00:00,39,1,4,3,NA,0,NA,S.José Campos
2020-03-01 14:00:00,38,1,4,3,NA,4,NA,S.José Campos
2020-03-01 15:00:00,39,0,3,2,NA,1,NA,S.José Campos
2020-03-01 16:00:00,36,0,4,2,NA,2,NA,S.José Campos
2020-03-01 17:00:00,33,0,6,4,NA,12,NA,S.José Campos
2020-03-01 18:00:00,32,2,7,6,NA,1,NA,S.José Campos
2020-03-01 19:00:00,32,1,8,5,NA,5,NA,S.José Campos
2020-03-01 20:00:00,28,0,10,6,NA,10,NA,S.José Campos
2020-03-01 21:00:00,24,2,12,8,NA,4,NA,S.José Campos
2020-03-01 22:00:00,16,3,19,13,NA,25,NA,S.José Campos
2020-03-01 23:00:00,17,3,15,10,NA,3,NA,S.José Campos
2020-03-02 00:00:00,12,3,19,13,NA,54,NA,S.José Campos
2020-03-02 01:00:00,20,NA,NA,NA,NA,50,NA,NA
2020-03-02 02:00:00,21,0,7,4,NA,15,NA,S.José Campos
2020-03-02 03:00:00,11,4,16,12,NA,9,NA,S.José Campos
2020-03-02 04:00:00,19,1,11,7,NA,17,NA,S.José Campos
2020-03-02 05:00:00,14,1,12,7,NA,7,NA,S.José Campos
