date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,NA,34,21,39,NA,12,NA,Santa Gertrudes
2020-03-01 02:00:00,NA,32,12,32,NA,20,NA,Santa Gertrudes
2020-03-01 03:00:00,NA,35,19,38,NA,24,NA,Santa Gertrudes
2020-03-01 04:00:00,NA,33,11,33,NA,28,NA,Santa Gertrudes
2020-03-01 05:00:00,NA,33,14,34,NA,13,NA,Santa Gertrudes
2020-03-01 06:00:00,NA,32,15,34,NA,12,NA,Santa Gertrudes
2020-03-01 07:00:00,NA,34,18,37,NA,14,NA,Santa Gertrudes
2020-03-01 08:00:00,NA,35,17,38,NA,10,NA,Santa Gertrudes
2020-03-01 09:00:00,NA,36,15,37,NA,16,NA,Santa Gertrudes
2020-03-01 10:00:00,NA,36,16,38,NA,10,NA,Santa Gertrudes
2020-03-01 11:00:00,NA,35,17,37,NA,21,NA,Santa Gertrudes
2020-03-01 12:00:00,NA,33,16,36,NA,6,NA,Santa Gertrudes
2020-03-01 13:00:00,NA,33,17,36,NA,11,NA,Santa Gertrudes
2020-03-01 14:00:00,NA,33,19,37,NA,16,NA,Santa Gertrudes
2020-03-01 15:00:00,NA,33,21,38,NA,22,NA,Santa Gertrudes
2020-03-01 16:00:00,NA,34,22,40,NA,20,NA,Santa Gertrudes
2020-03-01 17:00:00,NA,34,22,39,NA,27,NA,Santa Gertrudes
2020-03-01 18:00:00,NA,32,18,36,NA,21,NA,Santa Gertrudes
2020-03-01 19:00:00,NA,35,25,42,NA,20,NA,Santa Gertrudes
2020-03-01 20:00:00,NA,35,23,41,NA,16,NA,Santa Gertrudes
2020-03-01 21:00:00,NA,35,22,40,NA,23,NA,Santa Gertrudes
2020-03-01 22:00:00,NA,38,27,45,NA,15,NA,Santa Gertrudes
2020-03-01 23:00:00,NA,35,21,40,NA,18,NA,Santa Gertrudes
2020-03-02 00:00:00,NA,35,20,39,NA,8,NA,Santa Gertrudes
2020-03-02 01:00:00,NA,34,21,39,NA,6,NA,Santa Gertrudes
2020-03-02 02:00:00,NA,36,18,39,NA,12,NA,Santa Gertrudes
2020-03-02 03:00:00,NA,35,18,38,NA,12,NA,Santa Gertrudes
2020-03-02 04:00:00,NA,37,23,42,NA,21,NA,Santa Gertrudes
2020-03-02 05:00:00,NA,47,34,56,NA,10,NA,Santa Gertrudes
2020-03-02 06:00:00,NA,50,32,58,NA,22,NA,Santa Gertrudes
2020-03-02 07:00:00,NA,76,31,78,NA,21,NA,Santa Gertrudes
2020-03-02 08:00:00,NA,65,28,68,NA,37,NA,Santa Gertrudes
2020-03-02 09:00:00,NA,51,25,55,NA,31,NA,Santa Gertrudes
2020-03-02 10:00:00,NA,48,27,54,NA,43,NA,Santa Gertrudes
2020-03-02 11:00:00,NA,42,28,50,NA,42,NA,Santa Gertrudes
2020-03-02 12:00:00,NA,38,25,44,NA,32,NA,Santa Gertrudes
2020-03-02 13:00:00,NA,40,28,47,NA,36,NA,Santa Gertrudes
2020-03-02 14:00:00,NA,39,27,46,NA,63,NA,Santa Gertrudes
2020-03-02 15:00:00,NA,43,33,52,NA,21,NA,Santa Gertrudes
2020-03-02 16:00:00,NA,43,36,54,NA,51,NA,Santa Gertrudes
2020-03-02 17:00:00,NA,40,34,51,NA,68,NA,Santa Gertrudes
2020-03-02 18:00:00,NA,40,38,53,NA,67,NA,Santa Gertrudes
2020-03-02 19:00:00,NA,39,35,50,NA,53,NA,Santa Gertrudes
2020-03-02 20:00:00,NA,42,33,51,NA,57,NA,Santa Gertrudes
2020-03-02 21:00:00,NA,40,30,48,NA,31,NA,Santa Gertrudes
2020-03-02 22:00:00,NA,39,33,49,NA,19,NA,Santa Gertrudes
2020-03-02 23:00:00,NA,37,29,46,NA,27,NA,Santa Gertrudes
2020-03-03 00:00:00,NA,36,23,41,NA,10,NA,Santa Gertrudes
2020-03-03 01:00:00,NA,36,27,43,NA,18,NA,Santa Gertrudes
2020-03-03 02:00:00,NA,40,25,46,NA,26,NA,Santa Gertrudes
2020-03-03 03:00:00,NA,41,24,46,NA,17,NA,Santa Gertrudes
2020-03-03 04:00:00,NA,41,21,44,NA,18,NA,Santa Gertrudes
2020-03-03 05:00:00,NA,44,27,50,NA,18,NA,Santa Gertrudes
2020-03-03 06:00:00,NA,54,35,63,NA,47,NA,Santa Gertrudes
2020-03-03 07:00:00,NA,59,38,68,NA,29,NA,Santa Gertrudes
2020-03-03 08:00:00,NA,58,27,62,NA,53,NA,Santa Gertrudes
2020-03-03 09:00:00,NA,56,29,61,NA,59,NA,Santa Gertrudes
2020-03-03 10:00:00,NA,49,26,54,NA,37,NA,Santa Gertrudes
2020-03-03 11:00:00,NA,43,24,48,NA,21,NA,Santa Gertrudes
2020-03-03 12:00:00,NA,43,28,50,NA,29,NA,Santa Gertrudes
2020-03-03 13:00:00,NA,39,29,47,NA,36,NA,Santa Gertrudes
2020-03-03 14:00:00,NA,38,35,50,NA,36,10,Santa Gertrudes
2020-03-03 15:00:00,NA,38,35,49,NA,38,6,Santa Gertrudes
2020-03-03 16:00:00,NA,42,38,54,NA,51,7,Santa Gertrudes
2020-03-03 17:00:00,NA,41,38,53,NA,53,6,Santa Gertrudes
2020-03-03 18:00:00,NA,44,38,56,NA,42,8,Santa Gertrudes
2020-03-03 19:00:00,NA,42,34,52,NA,42,7,Santa Gertrudes
2020-03-03 20:00:00,NA,43,35,54,NA,41,6,Santa Gertrudes
2020-03-03 21:00:00,NA,43,32,52,NA,21,6,Santa Gertrudes
2020-03-03 22:00:00,NA,43,29,50,NA,18,4,Santa Gertrudes
2020-03-03 23:00:00,NA,45,30,53,NA,22,1,Santa Gertrudes
2020-03-04 00:00:00,NA,46,30,53,NA,28,3,Santa Gertrudes
2020-03-04 01:00:00,NA,41,22,46,NA,27,3,Santa Gertrudes
2020-03-04 02:00:00,NA,51,34,59,NA,36,2,Santa Gertrudes
2020-03-04 03:00:00,NA,45,21,48,NA,24,1,Santa Gertrudes
2020-03-04 04:00:00,NA,46,34,55,NA,31,1,Santa Gertrudes
2020-03-04 05:00:00,NA,46,26,52,NA,30,3,Santa Gertrudes
2020-03-04 06:00:00,NA,56,28,61,NA,30,7,Santa Gertrudes
2020-03-04 07:00:00,NA,66,27,68,NA,55,6,Santa Gertrudes
2020-03-04 08:00:00,NA,62,24,63,NA,52,10,Santa Gertrudes
2020-03-04 09:00:00,NA,58,26,61,NA,44,10,Santa Gertrudes
2020-03-04 10:00:00,NA,49,25,53,NA,44,10,Santa Gertrudes
2020-03-04 11:00:00,NA,44,26,50,NA,43,8,Santa Gertrudes
2020-03-04 12:00:00,NA,39,24,45,NA,39,8,Santa Gertrudes
2020-03-04 13:00:00,NA,36,24,42,NA,34,8,Santa Gertrudes
2020-03-04 14:00:00,NA,36,27,44,NA,32,5,Santa Gertrudes
2020-03-04 15:00:00,NA,36,29,45,NA,23,5,Santa Gertrudes
2020-03-04 16:00:00,NA,40,30,48,NA,30,7,Santa Gertrudes
2020-03-04 17:00:00,NA,46,33,54,NA,41,7,Santa Gertrudes
2020-03-04 18:00:00,NA,44,35,54,NA,44,7,Santa Gertrudes
2020-03-04 19:00:00,NA,50,49,66,NA,51,9,Santa Gertrudes
2020-03-04 20:00:00,NA,57,59,78,NA,71,9,Santa Gertrudes
2020-03-04 21:00:00,NA,43,42,57,NA,57,7,Santa Gertrudes
2020-03-04 22:00:00,NA,43,35,54,NA,53,8,Santa Gertrudes
2020-03-04 23:00:00,NA,46,49,64,NA,45,9,Santa Gertrudes
2020-03-05 00:00:00,NA,38,40,53,NA,53,15,Santa Gertrudes
2020-03-05 01:00:00,NA,40,36,52,NA,39,14,Santa Gertrudes
2020-03-05 02:00:00,NA,38,30,47,NA,37,12,Santa Gertrudes
2020-03-05 03:00:00,NA,47,35,56,NA,30,10,Santa Gertrudes
2020-03-05 04:00:00,NA,53,35,62,NA,38,8,Santa Gertrudes
2020-03-05 05:00:00,NA,61,34,68,NA,42,11,Santa Gertrudes
2020-03-05 06:00:00,NA,60,32,66,NA,42,14,Santa Gertrudes
2020-03-05 07:00:00,NA,68,31,72,NA,59,16,Santa Gertrudes
2020-03-05 08:00:00,NA,69,29,71,NA,60,16,Santa Gertrudes
2020-03-05 09:00:00,NA,62,29,66,NA,61,16,Santa Gertrudes
2020-03-05 10:00:00,NA,49,27,54,NA,51,16,Santa Gertrudes
2020-03-05 11:00:00,NA,47,32,55,NA,47,13,Santa Gertrudes
2020-03-05 12:00:00,NA,43,34,53,NA,49,14,Santa Gertrudes
2020-03-05 13:00:00,NA,39,35,50,NA,43,13,Santa Gertrudes
2020-03-05 14:00:00,NA,39,34,50,NA,42,14,Santa Gertrudes
2020-03-05 15:00:00,NA,41,35,52,NA,42,11,Santa Gertrudes
2020-03-05 16:00:00,NA,41,33,50,NA,53,9,Santa Gertrudes
2020-03-05 17:00:00,NA,44,37,56,NA,64,10,Santa Gertrudes
2020-03-05 18:00:00,NA,48,45,63,NA,78,11,Santa Gertrudes
2020-03-05 19:00:00,NA,47,48,63,NA,81,12,Santa Gertrudes
2020-03-05 20:00:00,NA,44,39,56,NA,78,12,Santa Gertrudes
2020-03-05 21:00:00,NA,44,38,56,NA,69,12,Santa Gertrudes
2020-03-05 22:00:00,NA,45,41,59,NA,39,12,Santa Gertrudes
2020-03-05 23:00:00,NA,48,41,60,NA,34,12,Santa Gertrudes
2020-03-06 00:00:00,NA,54,42,66,NA,33,11,Santa Gertrudes
2020-03-06 01:00:00,NA,48,43,62,NA,38,10,Santa Gertrudes
2020-03-06 02:00:00,NA,56,29,61,NA,37,18,Santa Gertrudes
2020-03-06 03:00:00,NA,58,26,61,NA,37,13,Santa Gertrudes
2020-03-06 04:00:00,NA,59,32,64,NA,49,13,Santa Gertrudes
2020-03-06 05:00:00,NA,53,30,59,NA,46,16,Santa Gertrudes
2020-03-06 06:00:00,NA,63,34,70,NA,31,11,Santa Gertrudes
2020-03-06 07:00:00,NA,94,35,95,NA,55,13,Santa Gertrudes
2020-03-06 08:00:00,NA,82,34,85,NA,75,17,Santa Gertrudes
2020-03-06 09:00:00,NA,60,27,63,NA,84,15,Santa Gertrudes
2020-03-06 10:00:00,NA,50,26,55,NA,47,12,Santa Gertrudes
2020-03-06 11:00:00,NA,45,26,51,NA,38,12,Santa Gertrudes
2020-03-06 12:00:00,NA,48,33,57,NA,44,10,Santa Gertrudes
2020-03-06 13:00:00,NA,41,30,49,NA,48,9,Santa Gertrudes
2020-03-06 14:00:00,NA,43,34,53,NA,42,10,Santa Gertrudes
2020-03-06 15:00:00,NA,42,33,52,NA,46,9,Santa Gertrudes
2020-03-06 16:00:00,NA,42,35,53,NA,43,10,Santa Gertrudes
2020-03-06 17:00:00,NA,43,42,57,NA,61,10,Santa Gertrudes
2020-03-06 18:00:00,NA,44,51,63,NA,65,10,Santa Gertrudes
2020-03-06 19:00:00,NA,41,70,71,NA,98,11,Santa Gertrudes
2020-03-06 20:00:00,NA,38,72,69,NA,135,16,Santa Gertrudes
2020-03-06 21:00:00,NA,38,56,61,NA,122,19,Santa Gertrudes
2020-03-06 22:00:00,NA,44,63,69,NA,82,20,Santa Gertrudes
2020-03-06 23:00:00,NA,42,55,64,NA,71,19,Santa Gertrudes
2020-03-07 00:00:00,NA,40,38,53,NA,44,14,Santa Gertrudes
2020-03-07 01:00:00,NA,41,38,54,NA,64,12,Santa Gertrudes
2020-03-07 02:00:00,NA,39,34,50,NA,35,16,Santa Gertrudes
2020-03-07 03:00:00,NA,42,33,52,NA,44,13,Santa Gertrudes
2020-03-07 04:00:00,NA,46,31,54,NA,49,14,Santa Gertrudes
2020-03-07 05:00:00,NA,50,29,56,NA,56,16,Santa Gertrudes
2020-03-07 06:00:00,NA,59,33,65,NA,49,14,Santa Gertrudes
2020-03-07 07:00:00,NA,71,32,75,NA,56,13,Santa Gertrudes
2020-03-07 08:00:00,NA,65,27,68,NA,72,16,Santa Gertrudes
