date,o3,no,no2,nox,co,pm10,pm25,est
2020-03-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 01:00:00,21,NA,NA,NA,NA,24,11,NA
2020-03-01 02:00:00,23,1,7,4,NA,7,4,São José do Rio Preto
2020-03-01 03:00:00,22,0,4,2,NA,10,6,São José do Rio Preto
2020-03-01 04:00:00,19,0,5,3,NA,12,6,São José do Rio Preto
2020-03-01 05:00:00,17,0,5,3,NA,8,1,São José do Rio Preto
2020-03-01 06:00:00,NA,0,4,2,NA,7,0,São José do Rio Preto
2020-03-01 07:00:00,16,1,5,3,NA,7,2,São José do Rio Preto
2020-03-01 08:00:00,18,1,5,3,NA,4,2,São José do Rio Preto
2020-03-01 09:00:00,18,2,5,4,NA,8,1,São José do Rio Preto
2020-03-01 10:00:00,23,4,6,7,NA,5,3,São José do Rio Preto
2020-03-01 11:00:00,35,3,6,5,NA,9,3,São José do Rio Preto
2020-03-01 12:00:00,41,3,8,6,NA,15,14,São José do Rio Preto
2020-03-01 13:00:00,51,2,6,5,NA,9,3,São José do Rio Preto
2020-03-01 14:00:00,58,1,4,3,NA,11,9,São José do Rio Preto
2020-03-01 15:00:00,54,0,4,2,NA,17,15,São José do Rio Preto
2020-03-01 16:00:00,50,1,4,2,NA,15,3,São José do Rio Preto
2020-03-01 17:00:00,52,0,3,2,NA,12,8,São José do Rio Preto
2020-03-01 18:00:00,52,1,4,2,NA,2,1,São José do Rio Preto
2020-03-01 19:00:00,48,1,5,3,NA,15,6,São José do Rio Preto
2020-03-01 20:00:00,45,1,7,4,NA,18,7,São José do Rio Preto
2020-03-01 21:00:00,42,1,8,5,NA,12,3,São José do Rio Preto
2020-03-01 22:00:00,42,2,8,5,NA,14,3,São José do Rio Preto
2020-03-01 23:00:00,40,2,6,5,NA,10,8,São José do Rio Preto
2020-03-02 00:00:00,37,1,7,5,NA,4,2,São José do Rio Preto
2020-03-02 01:00:00,35,NA,NA,NA,NA,6,3,NA
2020-03-02 02:00:00,30,0,5,3,NA,15,10,São José do Rio Preto
2020-03-02 03:00:00,25,0,6,3,NA,12,3,São José do Rio Preto
2020-03-02 04:00:00,23,1,5,3,NA,14,3,São José do Rio Preto
2020-03-02 05:00:00,15,1,11,7,NA,18,3,São José do Rio Preto
2020-03-02 06:00:00,NA,4,17,12,NA,15,7,São José do Rio Preto
2020-03-02 07:00:00,3,9,22,19,NA,17,2,São José do Rio Preto
2020-03-02 08:00:00,6,17,22,26,NA,13,2,São José do Rio Preto
2020-03-02 09:00:00,15,11,16,17,NA,22,10,São José do Rio Preto
2020-03-02 10:00:00,24,8,13,13,NA,16,4,São José do Rio Preto
2020-03-02 11:00:00,38,5,8,8,NA,12,4,São José do Rio Preto
2020-03-02 12:00:00,48,4,8,8,NA,13,0,São José do Rio Preto
2020-03-02 13:00:00,52,5,8,8,NA,13,1,São José do Rio Preto
2020-03-02 14:00:00,55,4,7,7,NA,13,4,São José do Rio Preto
2020-03-02 15:00:00,53,4,10,9,NA,10,3,São José do Rio Preto
2020-03-02 16:00:00,53,4,8,7,NA,14,5,São José do Rio Preto
2020-03-02 17:00:00,50,6,12,11,NA,15,5,São José do Rio Preto
2020-03-02 18:00:00,46,10,17,16,NA,20,14,São José do Rio Preto
2020-03-02 19:00:00,33,10,26,22,NA,26,14,São José do Rio Preto
2020-03-02 20:00:00,27,8,26,20,NA,22,9,São José do Rio Preto
2020-03-02 21:00:00,26,4,23,16,NA,13,4,São José do Rio Preto
2020-03-02 22:00:00,28,3,18,12,NA,16,6,São José do Rio Preto
2020-03-02 23:00:00,37,2,14,9,NA,20,6,São José do Rio Preto
2020-03-03 00:00:00,37,1,10,6,NA,9,3,São José do Rio Preto
2020-03-03 01:00:00,35,NA,NA,NA,NA,11,2,NA
2020-03-03 02:00:00,31,0,7,4,NA,8,4,São José do Rio Preto
2020-03-03 03:00:00,28,0,7,4,NA,11,6,São José do Rio Preto
2020-03-03 04:00:00,25,0,7,4,NA,12,8,São José do Rio Preto
2020-03-03 05:00:00,21,0,8,5,NA,13,7,São José do Rio Preto
2020-03-03 06:00:00,NA,1,13,8,NA,7,7,São José do Rio Preto
2020-03-03 07:00:00,10,3,15,11,NA,13,6,São José do Rio Preto
2020-03-03 08:00:00,11,11,21,20,NA,3,1,São José do Rio Preto
2020-03-03 09:00:00,17,10,17,17,NA,16,7,São José do Rio Preto
2020-03-03 10:00:00,26,6,12,11,NA,14,3,São José do Rio Preto
